	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d
	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
701	45.9	-166.8	1409.5	-1.1	2.1	-10.1	55.6	-174.2	867.6
702	47.4	-167.8	1405.3	-1.1	2.0	-9.5	54.7	-170.0	845.8
703	49.0	-168.8	1400.8	-1.0	1.9	-8.9	53.8	-165.9	824.0
704	50.5	-169.7	1396.1	-1.0	1.8	-8.3	52.9	-161.6	802.1
705	51.9	-170.6	1391.0	-0.9	1.6	-7.7	51.9	-157.3	780.1
706	53.4	-171.5	1385.7	-0.9	1.5	-7.1	51.0	-153.0	758.0
707	54.9	-172.4	1380.1	-0.9	1.4	-6.6	50.0	-148.7	736.0
708	56.3	-173.2	1374.3	-0.8	1.3	-6.1	49.0	-144.3	713.9
709	57.7	-174.0	1368.1	-0.8	1.2	-5.6	47.9	-139.9	691.9
710	59.1	-174.8	1361.7	-0.7	1.1	-5.1	46.9	-135.4	669.8
711	60.5	-175.5	1355.0	-0.7	1.0	-4.6	45.8	-131.0	647.9
712	61.8	-176.2	1348.0	-0.7	1.0	-4.2	44.7	-126.6	626.0
713	63.1	-176.8	1340.7	-0.6	0.9	-3.8	43.7	-122.1	604.3
714	64.4	-177.5	1333.1	-0.6	0.8	-3.4	42.6	-117.7	582.7
715	65.6	-178.0	1325.2	-0.6	0.7	-3.0	41.4	-113.3	561.3
716	66.8	-178.6	1317.0	-0.5	0.6	-2.7	40.3	-108.9	540.0
717	68.0	-179.1	1308.5	-0.5	0.6	-2.3	39.2	-104.6	519.0
718	69.1	-179.5	1299.7	-0.5	0.5	-2.0	38.1	-100.3	498.1
719	70.2	-180.0	1290.6	-0.4	0.4	-1.7	36.9	-96.0	477.6
720	71.2	-180.3	1281.1	-0.4	0.4	-1.4	35.8	-91.8	457.3
721	72.2	-180.6	1271.4	-0.4	0.3	-1.1	34.6	-87.6	437.3
722	73.2	-180.9	1261.4	-0.3	0.3	-0.9	33.5	-83.5	417.6
723	74.1	-181.1	1251.1	-0.3	0.2	-0.7	32.3	-79.5	398.2
724	74.9	-181.3	1240.5	-0.3	0.2	-0.4	31.2	-75.5	379.2
725	75.7	-181.4	1229.6	-0.3	0.1	-0.2	30.0	-71.7	360.6
726	76.5	-181.4	1218.4	-0.2	0.1	-0.0	28.9	-67.9	342.4
727	77.2	-181.4	1206.9	-0.2	0.0	0.2	27.8	-64.2	324.6
728	77.9	-181.3	1195.1	-0.2	0.0	0.3	26.7	-60.6	307.2
729	78.5	-181.2	1183.0	-0.2	-0.0	0.5	25.6	-57.1	290.2
730	79.0	-181.0	1170.6	-0.2	-0.1	0.6	24.5	-53.7	273.7
731	79.5	-180.7	1157.9	-0.1	-0.1	0.7	23.4	-50.4	257.7
732	79.9	-180.4	1145.0	-0.1	-0.1	0.9	22.3	-47.2	242.1
733	80.3	-180.0	1131.7	-0.1	-0.1	1.0	21.3	-44.1	227.0
734	80.6	-179.5	1118.2	-0.1	-0.2	1.1	20.2	-41.1	212.3
735	80.9	-179.0	1104.4	-0.1	-0.2	1.2	19.2	-38.2	198.2
736	81.1	-178.4	1090.4	-0.1	-0.2	1.2	18.2	-35.4	184.5
737	81.2	-177.7	1076.0	-0.1	-0.2	1.3	17.3	-32.7	171.3
738	81.3	-177.0	1061.5	-0.0	-0.2	1.4	16.3	-30.1	158.7
739	81.3	-176.2	1046.6	-0.0	-0.2	1.4	15.4	-27.7	146.4
740	81.3	-175.3	1031.5	-0.0	-0.2	1.5	14.5	-25.3	134.7
741	81.2	-174.3	1016.2	-0.0	-0.3	1.5	13.7	-23.0	123.5
742	81.0	-173.2	1000.6	0.0	-0.3	1.5	12.8	-20.8	112.7
743	80.8	-172.1	984.9	0.0	-0.3	1.6	12.0	-18.8	102.4
744	80.5	-170.9	968.9	0.0	-0.3	1.6	11.2	-16.8	92.6
745	80.2	-169.7	952.6	0.0	-0.3	1.6	10.4	-14.9	83.2
746	79.8	-168.3	936.2	0.0	-0.3	1.6	9.7	-13.2	74.3
747	79.4	-166.9	919.6	0.0	-0.3	1.6	9.0	-11.5	65.8
748	78.9	-165.4	902.8	0.0	-0.3	1.6	8.3	-9.9	57.8
749	78.4	-163.8	885.9	0.0	-0.3	1.6	7.7	-8.4	50.1
750	77.8	-162.1	868.8	0.1	-0.3	1.6	7.0	-6.9	42.9
751	77.1	-160.4	851.5	0.1	-0.3	1.6	6.4	-5.6	36.1
752	76.4	-158.6	834.1	0.1	-0.3	1.6	5.9	-4.3	29.6
753	75.7	-156.7	816.5	0.1	-0.3	1.6	5.3	-3.2	23.6
754	74.9	-154.8	798.9	0.1	-0.3	1.5	4.8	-2.1	17.9
755	74.1	-152.7	781.1	0.1	-0.3	1.5	4.3	-1.0	12.6
756	73.2	-150.6	763.2	0.1	-0.3	1.5	3.8	-0.1	7.6
757	72.3	-148.5	745.3	0.1	-0.3	1.5	3.4	0.8	3.0
758	71.3	-146.3	727.2	0.1	-0.3	1.4	2.9	1.7	-1.4
759	70.3	-144.0	709.2	0.1	-0.3	1.4	2.5	2.4	-5.4
760	69.3	-141.6	691.1	0.1	-0.3	1.4	2.1	3.1	-9.1
761	68.2	-139.2	672.9	0.1	-0.3	1.3	1.8	3.8	-12.5
762	67.1	-136.7	654.7	0.1	-0.2	1.3	1.4	4.4	-15.6
763	65.9	-134.2	636.6	0.1	-0.2	1.2	1.1	4.9	-18.5
764	64.8	-131.6	618.4	0.1	-0.2	1.2	0.8	5.4	-21.2
765	63.6	-129.0	600.3	0.1	-0.2	1.2	0.5	5.8	-23.5
766	62.3	-126.3	582.2	0.1	-0.2	1.1	0.3	6.2	-25.7
767	61.1	-123.6	564.2	0.1	-0.2	1.1	0.0	6.6	-27.6
768	59.8	-120.8	546.3	0.1	-0.2	1.1	-0.2	6.9	-29.3
769	58.5	-118.0	528.4	0.1	-0.2	1.0	-0.4	7.1	-30.9
770	57.2	-115.2	510.7	0.1	-0.2	1.0	-0.6	7.3	-32.2
771	55.8	-112.3	493.0	0.1	-0.2	0.9	-0.8	7.5	-33.4
772	54.5	-109.4	475.6	0.1	-0.2	0.9	-1.0	7.7	-34.3
773	53.1	-106.5	458.2	0.1	-0.2	0.9	-1.1	7.8	-35.2
774	51.7	-103.6	441.0	0.1	-0.2	0.8	-1.2	7.9	-35.8
775	50.3	-100.7	424.1	0.1	-0.2	0.8	-1.4	8.0	-36.4
776	48.9	-97.7	407.3	0.1	-0.1	0.7	-1.5	8.0	-36.8
777	47.5	-94.8	390.7	0.1	-0.1	0.7	-1.6	8.1	-37.0
778	46.1	-91.8	374.4	0.1	-0.1	0.7	-1.7	8.0	-37.2
779	44.7	-88.9	358.3	0.1	-0.1	0.6	-1.7	8.0	-37.2
780	43.3	-85.9	342.5	0.1	-0.1	0.6	-1.8	8.0	-37.2
781	41.8	-83.0	326.9	0.1	-0.1	0.6	-1.9	7.9	-37.0
782	40.4	-80.1	311.6	0.1	-0.1	0.5	-1.9	7.8	-36.8
783	39.0	-77.1	296.6	0.1	-0.1	0.5	-2.0	7.7	-36.5
784	37.6	-74.3	282.0	0.1	-0.1	0.5	-2.0	7.6	-36.1
785	36.2	-71.4	267.6	0.0	-0.1	0.4	-2.0	7.5	-35.6
786	34.8	-68.6	253.6	0.0	-0.1	0.4	-2.0	7.4	-35.1
787	33.4	-65.8	240.0	0.0	-0.1	0.4	-2.0	7.3	-34.6
788	32.0	-63.0	226.7	0.0	-0.1	0.3	-2.0	7.1	-33.9
789	30.7	-60.3	213.7	0.0	-0.1	0.3	-2.0	6.9	-33.3
790	29.3	-57.6	201.1	0.0	-0.1	0.3	-2.0	6.8	-32.6
791	28.0	-54.9	188.9	0.0	-0.1	0.3	-2.0	6.6	-31.8
792	26.7	-52.3	177.0	0.0	-0.1	0.2	-2.0	6.4	-31.0
793	25.4	-49.8	165.6	0.0	-0.0	0.2	-2.0	6.3	-30.2
794	24.2	-47.3	154.5	0.0	-0.0	0.2	-2.0	6.1	-29.4
795	22.9	-44.8	143.8	0.0	-0.0	0.2	-1.9	5.9	-28.6
796	21.7	-42.4	133.5	0.0	-0.0	0.1	-1.9	5.7	-27.7
797	20.6	-40.1	123.5	0.0	-0.0	0.1	-1.9	5.5	-26.8
798	19.4	-37.8	114.0	0.0	-0.0	0.1	-1.8	5.3	-26.0
799	18.3	-35.6	104.8	0.0	-0.0	0.1	-1.8	5.1	-25.1
800	17.2	-33.5	96.0	0.0	-0.0	0.1	-1.8	4.9	-24.2
801	16.2	-31.4	87.6	0.0	-0.0	0.0	-1.7	4.7	-23.3
802	15.2	-29.4	79.5	0.0	-0.0	0.0	-1.7	4.5	-22.4
803	14.2	-27.4	71.8	0.0	-0.0	0.0	-1.6	4.4	-21.6
804	13.2	-25.5	64.5	0.0	-0.0	-0.0	-1.6	4.2	-20.7
805	12.3	-23.7	57.5	0.0	-0.0	-0.0	-1.5	4.0	-19.8
806	11.4	-22.0	50.9	0.0	-0.0	-0.0	-1.5	3.8	-19.0
807	10.6	-20.3	44.6	0.0	-0.0	-0.1	-1.4	3.6	-18.1
808	9.7	-18.7	38.6	0.0	-0.0	-0.1	-1.4	3.5	-17.3
809	9.0	-17.1	33.0	0.0	-0.0	-0.1	-1.4	3.3	-16.5
810	8.2	-15.6	27.7	0.0	0.0	-0.1	-1.3	3.1	-15.6
811	7.5	-14.2	22.6	0.0	0.0	-0.1	-1.3	2.9	-14.9
812	6.8	-12.8	17.9	0.0	0.0	-0.1	-1.2	2.8	-14.1
813	6.1	-11.6	13.5	0.0	0.0	-0.1	-1.2	2.6	-13.3
814	5.5	-10.3	9.3	0.0	0.0	-0.1	-1.1	2.5	-12.6
815	4.9	-9.2	5.5	0.0	0.0	-0.1	-1.1	2.3	-11.9
816	4.3	-8.0	1.8	0.0	0.0	-0.1	-1.0	2.2	-11.2
817	3.8	-7.0	-1.5	0.0	0.0	-0.1	-1.0	2.0	-10.5
818	3.3	-6.0	-4.7	0.0	0.0	-0.2	-0.9	1.9	-9.9
819	2.8	-5.0	-7.5	0.0	0.0	-0.2	-0.9	1.8	-9.2
820	2.3	-4.2	-10.2	0.0	0.0	-0.2	-0.8	1.7	-8.6
821	1.9	-3.3	-12.6	0.0	0.0	-0.2	-0.8	1.5	-8.0
822	1.5	-2.5	-14.9	-0.0	0.0	-0.2	-0.8	1.4	-7.4
823	1.1	-1.8	-16.9	-0.0	0.0	-0.2	-0.7	1.3	-6.9
824	0.8	-1.1	-18.8	-0.0	0.0	-0.2	-0.7	1.2	-6.4
825	0.4	-0.5	-20.5	-0.0	0.0	-0.2	-0.6	1.1	-5.9
826	0.1	0.1	-21.9	-0.0	0.0	-0.2	-0.6	1.0	-5.4
827	-0.2	0.7	-23.3	-0.0	0.0	-0.2	-0.6	0.9	-4.9
828	-0.4	1.2	-24.5	-0.0	0.0	-0.2	-0.5	0.8	-4.5
829	-0.7	1.7	-25.5	-0.0	0.0	-0.2	-0.5	0.7	-4.0
830	-0.9	2.1	-26.4	-0.0	-0.0	-0.2	-0.5	0.7	-3.6
831	-1.1	2.5	-27.1	-0.0	-0.0	-0.2	-0.4	0.6	-3.2
832	-1.3	2.9	-27.8	-0.0	-0.0	-0.1	-0.4	0.5	-2.9
833	-1.5	3.2	-28.3	-0.0	-0.0	-0.1	-0.4	0.4	-2.5
834	-1.6	3.5	-28.7	-0.0	-0.0	-0.1	-0.3	0.4	-2.2
835	-1.8	3.8	-29.0	-0.0	-0.0	-0.1	-0.3	0.3	-1.9
836	-1.9	4.0	-29.2	-0.0	-0.0	-0.1	-0.3	0.2	-1.6
837	-2.0	4.2	-29.3	-0.0	-0.0	-0.1	-0.3	0.2	-1.3
838	-2.1	4.4	-29.3	-0.0	-0.0	-0.1	-0.2	0.1	-1.0
839	-2.2	4.6	-29.3	-0.0	-0.0	-0.1	-0.2	0.1	-0.8
840	-2.3	4.7	-29.1	-0.0	-0.0	-0.1	-0.2	0.0	-0.6
841	-2.3	4.8	-28.9	-0.0	-0.0	-0.1	-0.2	0.0	-0.3
842	-2.4	4.9	-28.7	-0.0	-0.0	-0.0	-0.1	-0.0	-0.1
843	-2.4	5.0	-28.4	-0.0	-0.0	-0.0	-0.1	-0.1	0.1
844	-2.5	5.0	-28.0	-0.0	-0.0	-0.0	-0.1	-0.1	0.2
845	-2.5	5.1	-27.6	-0.0	-0.0	0.0	-0.1	-0.1	0.4
846	-2.5	5.1	-27.1	-0.0	-0.0	0.0	-0.1	-0.2	0.5
847	-2.5	5.1	-26.6	-0.0	-0.0	0.1	-0.1	-0.2	0.7
848	-2.5	5.1	-26.1	-0.0	-0.0	0.1	-0.0	-0.2	0.8
849	-2.5	5.1	-25.5	-0.0	-0.1	0.1	-0.0	-0.2	0.9
850	-2.5	5.1	-25.0	-0.0	-0.1	0.1	-0.0	-0.3	1.0
851	-2.5	5.0	-24.3	-0.0	-0.1	0.1	-0.0	-0.3	1.1
852	-2.5	5.0	-23.7	-0.0	-0.1	0.2	-0.0	-0.3	1.2
853	-2.4	4.9	-23.1	-0.0	-0.1	0.2	0.0	-0.3	1.3
854	-2.4	4.8	-22.4	-0.0	-0.1	0.2	0.0	-0.3	1.3
855	-2.4	4.8	-21.7	-0.0	-0.1	0.3	0.0	-0.3	1.4
856	-2.3	4.7	-21.0	-0.0	-0.1	0.3	0.0	-0.3	1.4
857	-2.3	4.6	-20.3	-0.0	-0.1	0.3	0.0	-0.3	1.5
858	-2.2	4.5	-19.7	-0.0	-0.1	0.4	0.0	-0.3	1.5
859	-2.2	4.4	-19.0	-0.0	-0.1	0.4	0.1	-0.3	1.6
860	-2.1	4.3	-18.3	-0.0	-0.1	0.4	0.1	-0.3	1.6
861	-2.1	4.2	-17.6	-0.0	-0.1	0.5	0.1	-0.3	1.6
862	-2.0	4.1	-16.9	-0.0	-0.1	0.5	0.1	-0.3	1.6
863	-2.0	3.9	-16.2	-0.0	-0.1	0.6	0.1	-0.3	1.6
864	-1.9	3.8	-15.5	-0.0	-0.1	0.6	0.1	-0.3	1.6
865	-1.9	3.7	-14.8	-0.0	-0.1	0.6	0.1	-0.3	1.6
866	-1.8	3.6	-14.2	-0.0	-0.1	0.7	0.1	-0.3	1.6
867	-1.7	3.5	-13.5	-0.0	-0.1	0.7	0.1	-0.3	1.6
868	-1.7	3.3	-12.9	-0.0	-0.1	0.8	0.1	-0.3	1.6
869	-1.6	3.2	-12.2	-0.0	-0.1	0.8	0.1	-0.3	1.6
870	-1.6	3.1	-11.6	-0.0	-0.1	0.9	0.1	-0.3	1.5
871	-1.5	3.0	-11.0	-0.0	-0.2	0.9	0.1	-0.3	1.5
872	-1.4	2.9	-10.4	-0.0	-0.2	1.0	0.1	-0.3	1.5
873	-1.4	2.7	-9.8	-0.0	-0.2	1.0	0.1	-0.3	1.5
874	-1.3	2.6	-9.3	0.0	-0.2	1.1	0.1	-0.3	1.4
875	-1.3	2.5	-8.7	0.0	-0.2	1.2	0.1	-0.3	1.4
876	-1.2	2.4	-8.2	0.0	-0.2	1.2	0.1	-0.3	1.4
877	-1.2	2.3	-7.7	0.0	-0.2	1.3	0.1	-0.3	1.3
878	-1.1	2.2	-7.2	0.0	-0.2	1.3	0.1	-0.3	1.3
879	-1.0	2.1	-6.7	0.0	-0.2	1.4	0.1	-0.3	1.3
880	-1.0	1.9	-6.2	0.0	-0.2	1.4	0.1	-0.3	1.2
881	-0.9	1.8	-5.8	0.0	-0.2	1.5	0.1	-0.2	1.2
882	-0.9	1.7	-5.4	0.0	-0.2	1.6	0.1	-0.2	1.2
883	-0.8	1.6	-5.0	0.0	-0.2	1.6	0.1	-0.2	1.1
884	-0.8	1.5	-4.6	0.0	-0.2	1.7	0.1	-0.2	1.1
885	-0.7	1.5	-4.2	0.0	-0.2	1.7	0.1	-0.2	1.0
886	-0.7	1.4	-3.8	0.0	-0.2	1.8	0.1	-0.2	1.0
887	-0.7	1.3	-3.5	0.0	-0.2	1.9	0.1	-0.2	1.0
888	-0.6	1.2	-3.1	0.0	-0.2	1.9	0.1	-0.2	0.9
889	-0.6	1.1	-2.8	0.0	-0.2	2.0	0.1	-0.2	0.9
890	-0.5	1.0	-2.5	0.0	-0.2	2.0	0.1	-0.2	0.8
891	-0.5	1.0	-2.2	0.0	-0.2	2.1	0.1	-0.2	0.8
892	-0.5	0.9	-1.9	0.0	-0.2	2.1	0.1	-0.2	0.8
893	-0.4	0.8	-1.7	0.0	-0.2	2.2	0.1	-0.1	0.7
894	-0.4	0.7	-1.4	0.0	-0.2	2.2	0.1	-0.1	0.7
895	-0.4	0.7	-1.2	0.0	-0.1	2.3	0.1	-0.1	0.7
896	-0.3	0.6	-1.0	0.0	-0.1	2.3	0.1	-0.1	0.6
897	-0.3	0.6	-0.8	0.0	-0.1	2.4	0.1	-0.1	0.6
898	-0.3	0.5	-0.6	0.0	-0.1	2.4	0.1	-0.1	0.5
899	-0.2	0.5	-0.4	0.0	-0.1	2.4	0.1	-0.1	0.5
900	-0.2	0.4	-0.3	0.0	-0.1	2.4	0.0	-0.1	0.5
901	-0.2	0.4	-0.1	0.1	-0.1	2.5	0.0	-0.1	0.4
902	-0.2	0.3	0.0	0.1	-0.1	2.5	0.0	-0.1	0.4
903	-0.1	0.3	0.2	0.1	-0.0	2.5	0.0	-0.1	0.4
904	-0.1	0.2	0.3	0.1	-0.0	2.5	0.0	-0.1	0.4
905	-0.1	0.2	0.4	0.1	-0.0	2.5	0.0	-0.1	0.3
906	-0.1	0.1	0.5	0.1	0.0	2.5	0.0	-0.1	0.3
907	-0.1	0.1	0.6	0.1	0.0	2.5	0.0	-0.1	0.3
908	-0.0	0.1	0.7	0.1	0.1	2.4	0.0	-0.0	0.2
909	-0.0	0.1	0.8	0.1	0.1	2.4	0.0	-0.0	0.2
910	-0.0	0.0	0.9	0.1	0.1	2.3	0.0	-0.0	0.2
911	-0.0	0.0	0.9	0.1	0.2	2.3	0.0	-0.0	0.2
912	0.0	-0.0	1.0	0.1	0.2	2.2	0.0	-0.0	0.1
913	0.0	-0.0	1.0	0.1	0.2	2.1	0.0	-0.0	0.1
914	0.0	-0.1	1.1	0.1	0.3	2.0	0.0	-0.0	0.1
915	0.0	-0.1	1.1	0.1	0.3	1.9	0.0	-0.0	0.1
916	0.0	-0.1	1.1	0.1	0.3	1.8	0.0	-0.0	0.1
917	0.1	-0.1	1.2	0.1	0.4	1.7	0.0	-0.0	0.0
918	0.1	-0.1	1.2	0.1	0.4	1.5	0.0	-0.0	0.0
919	0.1	-0.1	1.2	0.1	0.5	1.4	0.0	-0.0	0.0
920	0.1	-0.2	1.2	0.1	0.5	1.2	0.0	-0.0	-0.0
921	0.1	-0.2	1.2	0.1	0.6	1.0	0.0	-0.0	-0.0
922	0.1	-0.2	1.2	0.1	0.6	0.8	0.0	-0.0	-0.0
923	0.1	-0.2	1.2	0.1	0.7	0.5	0.0	0.0	-0.0
924	0.1	-0.2	1.2	0.1	0.7	0.3	0.0	0.0	-0.1
925	0.1	-0.2	1.2	0.1	0.8	0.0	0.0	0.0	-0.1
926	0.1	-0.2	1.2	0.1	0.9	-0.3	0.0	0.0	-0.1
927	0.1	-0.2	1.2	0.1	0.9	-0.6	0.0	0.0	-0.1
928	0.1	-0.2	1.2	0.1	1.0	-0.9	0.0	0.0	-0.1
929	0.1	-0.2	1.2	0.1	1.1	-1.3	0.0	0.0	-0.1
930	0.1	-0.2	1.1	0.1	1.2	-1.7	0.0	0.0	-0.1
931	0.1	-0.2	1.1	0.1	1.2	-2.1	0.0	0.0	-0.1
932	0.1	-0.2	1.1	0.1	1.3	-2.5	0.0	0.0	-0.1
933	0.1	-0.2	1.1	0.1	1.4	-3.0	0.0	0.0	-0.1
934	0.1	-0.2	1.0	0.1	1.5	-3.5	0.0	0.0	-0.1
935	0.1	-0.2	1.0	0.1	1.6	-4.0	0.0	0.0	-0.1
936	0.1	-0.2	1.0	0.1	1.7	-4.6	0.0	0.0	-0.1
937	0.1	-0.2	1.0	0.1	1.7	-5.1	0.0	0.0	-0.1
938	0.1	-0.2	0.9	0.1	1.8	-5.7	-0.0	0.0	-0.1
939	0.1	-0.2	0.9	0.1	1.9	-6.4	-0.0	0.0	-0.2
940	0.1	-0.2	0.9	0.1	2.0	-7.0	-0.0	0.0	-0.2
941	0.1	-0.2	0.8	0.1	2.1	-7.7	-0.0	0.0	-0.2
942	0.1	-0.2	0.8	0.1	2.2	-8.5	-0.0	0.0	-0.1
943	0.1	-0.2	0.8	0.1	2.3	-9.2	-0.0	0.0	-0.1
944	0.1	-0.2	0.7	0.1	2.4	-10.0	-0.0	0.0	-0.1
945	0.1	-0.2	0.7	0.1	2.5	-10.8	-0.0	0.0	-0.1
946	0.1	-0.2	0.7	0.1	2.6	-11.7	-0.0	-0.0	-0.1
947	0.1	-0.2	0.6	0.1	2.7	-12.6	-0.0	-0.0	-0.1
948	0.1	-0.2	0.6	0.1	2.8	-13.5	-0.0	-0.0	-0.1
949	0.1	-0.2	0.6	0.1	2.9	-14.5	-0.0	-0.0	-0.1
950	0.1	-0.2	0.6	0.1	3.0	-15.5	-0.0	-0.0	-0.1
951	0.1	-0.2	0.5	0.1	3.1	-16.5	-0.0	-0.0	-0.1
952	0.1	-0.1	0.5	0.1	3.2	-17.5	-0.0	-0.0	-0.1
953	0.1	-0.1	0.5	0.0	3.4	-18.6	-0.0	-0.0	-0.1
954	0.1	-0.1	0.4	0.0	3.4	-19.7	-0.0	-0.0	-0.1
955	0.1	-0.1	0.4	0.0	3.5	-20.9	-0.0	-0.0	-0.1
956	0.1	-0.1	0.4	0.0	3.6	-22.0	-0.0	-0.0	-0.0
957	0.1	-0.1	0.4	-0.0	3.7	-23.2	-0.0	-0.0	-0.0
958	0.1	-0.1	0.3	-0.0	3.8	-24.4	-0.0	-0.0	-0.0
959	0.1	-0.1	0.3	-0.0	3.9	-25.7	-0.0	-0.0	-0.0
960	0.1	-0.1	0.3	-0.1	4.0	-26.9	-0.0	-0.0	0.0
961	0.1	-0.1	0.3	-0.1	4.1	-28.2	-0.0	-0.0	0.0
962	0.0	-0.1	0.3	-0.1	4.1	-29.5	-0.0	-0.0	0.1
963	0.0	-0.1	0.2	-0.1	4.2	-30.9	-0.0	-0.1	0.1
964	0.0	-0.1	0.2	-0.2	4.2	-32.2	-0.0	-0.1	0.1
965	0.0	-0.1	0.2	-0.2	4.3	-33.6	-0.0	-0.1	0.1
966	0.0	-0.1	0.2	-0.2	4.3	-34.9	-0.0	-0.1	0.1
967	0.0	-0.1	0.2	-0.2	4.3	-36.3	-0.0	-0.1	0.2
968	0.0	-0.1	0.2	-0.3	4.4	-37.6	-0.0	-0.1	0.2
969	0.0	-0.1	0.2	-0.3	4.4	-39.0	-0.0	-0.1	0.2
970	0.0	-0.1	0.2	-0.4	4.4	-40.4	-0.0	-0.1	0.2
971	0.0	-0.1	0.2	-0.4	4.3	-41.7	-0.0	-0.1	0.3
972	0.0	-0.1	0.1	-0.4	4.3	-43.0	-0.0	-0.1	0.3
973	0.0	-0.1	0.1	-0.5	4.3	-44.3	-0.0	-0.1	0.3
974	0.0	-0.1	0.1	-0.5	4.2	-45.6	-0.0	-0.1	0.4
975	0.0	-0.1	0.1	-0.6	4.1	-46.9	-0.0	-0.1	0.4
976	0.0	-0.1	0.1	-0.6	4.0	-48.1	-0.0	-0.1	0.4
977	0.0	-0.1	0.1	-0.7	3.9	-49.3	-0.0	-0.1	0.5
978	0.0	-0.1	0.1	-0.7	3.8	-50.4	-0.0	-0.1	0.5
979	0.0	-0.1	0.2	-0.8	3.6	-51.5	-0.1	-0.1	0.6
980	0.0	-0.1	0.2	-0.8	3.4	-52.5	-0.1	-0.1	0.6
981	-0.0	-0.1	0.2	-0.9	3.2	-53.4	-0.1	-0.1	0.6
982	-0.0	-0.1	0.2	-0.9	3.0	-54.3	-0.1	-0.1	0.7
983	-0.0	-0.1	0.2	-1.0	2.8	-55.1	-0.1	-0.1	0.7
984	-0.0	-0.1	0.2	-1.0	2.5	-55.7	-0.1	-0.1	0.8
985	-0.0	-0.1	0.2	-1.1	2.2	-56.3	-0.1	-0.1	0.8
986	-0.0	-0.1	0.2	-1.2	1.8	-56.7	-0.1	-0.2	0.9
987	-0.0	-0.1	0.2	-1.2	1.5	-57.1	-0.1	-0.2	0.9
988	-0.0	-0.1	0.3	-1.3	1.1	-57.2	-0.1	-0.2	1.0
989	-0.0	-0.1	0.3	-1.4	0.6	-57.3	-0.1	-0.2	1.0
990	-0.0	-0.1	0.3	-1.5	0.2	-57.2	-0.1	-0.2	1.1
991	-0.0	-0.1	0.3	-1.5	-0.3	-56.9	-0.1	-0.2	1.1
992	-0.0	-0.1	0.4	-1.6	-0.9	-56.4	-0.1	-0.2	1.2
993	-0.0	-0.1	0.4	-1.7	-1.5	-55.7	-0.1	-0.2	1.2
994	-0.0	-0.1	0.4	-1.7	-2.1	-54.8	-0.1	-0.2	1.3
995	-0.0	-0.1	0.4	-1.8	-2.8	-53.7	-0.1	-0.2	1.3
996	-0.0	-0.1	0.5	-1.9	-3.5	-52.4	-0.1	-0.2	1.4
997	-0.0	-0.1	0.5	-2.0	-4.2	-50.8	-0.1	-0.2	1.4
998	-0.0	-0.1	0.5	-2.1	-5.0	-49.0	-0.1	-0.2	1.5
999	-0.0	-0.1	0.6	-2.1	-5.9	-46.8	-0.1	-0.2	1.5
1000	-0.0	-0.1	0.6	-2.2	-6.8	-44.4	-0.1	-0.2	1.6
1001	-0.0	-0.1	0.6	-2.3	-7.7	-41.6	-0.1	-0.2	1.7
1002	-0.0	-0.1	0.7	-2.4	-8.7	-38.6	-0.1	-0.2	1.7
1003	-0.0	-0.1	0.7	-2.5	-9.7	-35.2	-0.1	-0.2	1.8
1004	-0.0	-0.1	0.8	-2.5	-10.8	-31.4	-0.1	-0.2	1.8
1005	-0.0	-0.1	0.8	-2.6	-12.0	-27.2	-0.1	-0.2	1.9
1006	-0.0	-0.2	0.9	-2.7	-13.2	-22.7	-0.1	-0.2	1.9
1007	-0.0	-0.2	0.9	-2.8	-14.5	-17.7	-0.1	-0.2	1.9
1008	-0.0	-0.2	0.9	-2.8	-15.8	-12.3	-0.1	-0.1	2.0
1009	-0.0	-0.2	1.0	-2.9	-17.2	-6.5	-0.1	-0.1	2.0
1010	-0.0	-0.2	1.0	-3.0	-18.6	-0.1	-0.1	-0.1	2.1
1011	-0.0	-0.2	1.1	-3.0	-20.1	6.7	-0.1	-0.1	2.1
1012	-0.0	-0.2	1.1	-3.1	-21.6	14.0	-0.1	-0.1	2.1
1013	-0.0	-0.2	1.2	-3.1	-23.2	21.8	-0.1	-0.1	2.2
1014	-0.0	-0.2	1.2	-3.2	-24.9	30.1	-0.1	-0.1	2.2
