	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 2.c3d
	FP3	FP3	FP3
	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z
1	-12.6	-40.7	787.1
2	-12.7	-40.1	787.6
3	-12.7	-39.5	788.1
4	-12.7	-38.8	788.6
5	-12.8	-38.2	789.0
6	-12.7	-37.5	789.5
7	-12.7	-36.7	789.9
8	-12.7	-36.0	790.3
9	-12.6	-35.2	790.7
10	-12.5	-34.4	791.1
11	-12.5	-33.5	791.5
12	-12.4	-32.7	791.8
13	-12.3	-31.8	792.2
14	-12.2	-30.9	792.5
15	-12.0	-30.0	792.9
16	-11.9	-29.1	793.2
17	-11.8	-28.1	793.5
18	-11.7	-27.2	793.8
19	-11.6	-26.2	794.1
20	-11.5	-25.2	794.3
21	-11.4	-24.3	794.6
22	-11.3	-23.3	794.9
23	-11.2	-22.3	795.1
24	-11.2	-21.4	795.4
25	-11.1	-20.4	795.7
26	-11.1	-19.4	795.9
27	-11.0	-18.5	796.2
28	-11.0	-17.6	796.4
29	-11.1	-16.7	796.7
30	-11.1	-15.8	797.0
31	-11.2	-14.9	797.2
32	-11.3	-14.0	797.5
33	-11.4	-13.2	797.8
34	-11.5	-12.4	798.1
35	-11.7	-11.6	798.4
36	-11.8	-10.8	798.7
37	-12.0	-10.0	799.0
38	-12.3	-9.3	799.3
39	-12.5	-8.6	799.6
40	-12.8	-7.9	799.9
41	-13.1	-7.3	800.2
42	-13.4	-6.6	800.5
43	-13.8	-6.0	800.8
44	-14.1	-5.4	801.1
45	-14.5	-4.8	801.4
46	-14.9	-4.3	801.7
47	-15.3	-3.7	801.9
48	-15.8	-3.2	802.2
49	-16.2	-2.7	802.5
50	-16.7	-2.2	802.7
51	-17.2	-1.7	803.0
52	-17.7	-1.2	803.2
53	-18.2	-0.8	803.4
54	-18.7	-0.3	803.6
55	-19.2	0.2	803.7
56	-19.8	0.6	803.9
57	-20.3	1.1	804.0
58	-20.8	1.5	804.1
59	-21.4	1.9	804.2
