	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DJ 3.c3d
	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
24	93.68	-7.98	-1.02	46.50	-20.45	11.74	63.47	-1.86	-0.41	17.13	-8.67	7.76	77.28	-5.82	4.04	46.81	-5.79	6.47
25	99.55	-9.07	-0.66	53.11	-20.57	12.53	69.96	-1.77	-0.44	24.23	-6.84	7.84	85.17	-5.81	4.31	51.52	-6.89	7.27
26	105.18	-10.21	-0.20	59.34	-20.85	13.41	76.48	-1.80	-0.44	31.30	-5.41	7.94	92.75	-5.96	4.64	56.02	-8.15	8.15
27	110.45	-11.34	0.33	65.09	-21.25	14.36	82.81	-1.94	-0.43	38.13	-4.35	8.05	99.83	-6.23	5.05	60.20	-9.55	9.13
28	115.21	-12.43	0.93	70.18	-21.73	15.37	88.95	-2.21	-0.36	44.68	-3.70	8.23	106.29	-6.58	5.52	64.15	-11.01	10.17
29	119.49	-13.44	1.57	74.76	-22.27	16.39	94.76	-2.58	-0.23	50.89	-3.41	8.46	112.06	-6.97	6.04	67.72	-12.50	11.24
30	123.08	-14.32	2.20	78.56	-22.82	17.40	100.18	-3.08	-0.03	56.54	-3.47	8.76	117.10	-7.37	6.59	70.97	-13.98	12.34
31	126.11	-15.06	2.83	81.69	-23.36	18.39	105.18	-3.66	0.23	61.72	-3.83	9.10	121.34	-7.73	7.15	73.82	-15.39	13.41
32	128.44	-15.63	3.42	84.18	-23.84	19.30	109.56	-4.29	0.54	66.37	-4.45	9.48	124.80	-8.04	7.71	76.30	-16.72	14.47
33	130.21	-16.02	3.98	86.06	-24.28	20.17	113.31	-4.93	0.89	70.41	-5.28	9.86	127.53	-8.26	8.26	78.44	-17.93	15.47
34	131.36	-16.22	4.49	87.26	-24.60	20.91	116.55	-5.60	1.28	73.81	-6.25	10.24	129.53	-8.40	8.78	80.20	-19.02	16.42
35	131.95	-16.25	4.94	88.03	-24.84	21.61	119.03	-6.21	1.66	76.72	-7.34	10.62	130.94	-8.47	9.30	81.70	-19.96	17.32
36	132.13	-16.11	5.35	88.32	-24.95	22.17	120.97	-6.78	2.05	78.95	-8.46	10.95	131.79	-8.46	9.82	82.90	-20.75	18.14
37	131.92	-15.83	5.73	88.22	-24.98	22.68	122.27	-7.27	2.43	80.74	-9.59	11.24	132.10	-8.35	10.32	83.89	-21.40	18.90
38	131.29	-15.39	6.05	87.78	-24.87	23.06	123.07	-7.68	2.79	81.98	-10.68	11.48	132.05	-8.21	10.83	84.60	-21.91	19.59
39	130.51	-14.87	6.37	87.13	-24.67	23.39	123.39	-7.99	3.11	82.78	-11.71	11.66	131.61	-7.98	11.33	85.17	-22.27	20.20
40	129.41	-14.23	6.65	86.27	-24.38	23.62	123.31	-8.21	3.40	83.17	-12.66	11.79	130.92	-7.72	11.86	85.60	-22.50	20.74
