	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 1.c3d
	FP3	FP3	FP3
	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z
200	8.3	0.4	735.5
201	8.5	0.4	735.4
202	8.7	0.5	735.4
203	8.9	0.5	735.3
204	9.0	0.6	735.2
205	9.2	0.6	735.2
206	9.3	0.7	735.1
207	9.4	0.7	735.1
208	9.6	0.8	735.0
209	9.7	0.8	735.0
210	9.8	0.9	735.0
211	9.8	0.9	734.9
212	9.9	1.0	734.9
213	10.0	1.0	734.9
214	10.0	1.1	734.8
215	10.1	1.1	734.8
216	10.1	1.2	734.8
217	10.1	1.2	734.8
218	10.1	1.3	734.8
219	10.1	1.3	734.8
220	10.1	1.4	734.8
221	10.1	1.4	734.8
222	10.1	1.4	734.8
223	10.0	1.5	734.8
224	10.0	1.5	734.8
225	9.9	1.6	734.8
226	9.9	1.6	734.8
227	9.8	1.6	734.8
228	9.7	1.7	734.8
229	9.6	1.7	734.9
230	9.5	1.7	734.9
231	9.4	1.8	734.9
232	9.3	1.8	734.9
233	9.2	1.8	735.0
234	9.1	1.8	735.0
235	8.9	1.9	735.1
236	8.8	1.9	735.1
237	8.7	1.9	735.2
238	8.5	1.9	735.2
239	8.4	1.9	735.3
240	8.2	1.9	735.4
241	8.1	1.9	735.4
242	7.9	1.9	735.5
243	7.8	1.9	735.6
244	7.6	1.9	735.7
245	7.4	1.9	735.7
246	7.3	1.9	735.8
247	7.1	1.9	735.9
248	6.9	1.8	736.0
249	6.8	1.8	736.1
250	6.6	1.8	736.2
251	6.4	1.7	736.3
252	6.2	1.7	736.5
253	6.1	1.7	736.6
254	5.9	1.6	736.7
255	5.7	1.6	736.8
256	5.5	1.5	737.0
257	5.4	1.4	737.1
258	5.2	1.4	737.2
259	5.0	1.3	737.4
260	4.9	1.2	737.5
261	4.7	1.1	737.6
262	4.5	1.0	737.8
263	4.4	0.9	737.9
264	4.2	0.8	738.1
265	4.1	0.7	738.2
266	3.9	0.6	738.4
