	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d
	FP3	FP3	FP3
	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z
198	8.2	-3.5	734.4
199	7.8	-3.3	734.5
200	7.4	-3.2	734.7
201	7.0	-3.1	735.0
202	6.6	-2.9	735.2
203	6.2	-2.8	735.4
204	5.7	-2.7	735.7
205	5.3	-2.5	736.0
206	4.8	-2.4	736.3
207	4.3	-2.3	736.6
208	3.9	-2.2	736.9
209	3.4	-2.1	737.2
210	2.9	-2.0	737.5
211	2.4	-1.9	737.9
212	1.9	-1.8	738.2
213	1.4	-1.7	738.6
214	0.8	-1.6	739.0
215	0.3	-1.5	739.3
216	-0.2	-1.4	739.7
217	-0.8	-1.4	740.1
218	-1.3	-1.3	740.6
219	-1.8	-1.2	741.0
220	-2.4	-1.2	741.4
221	-2.9	-1.1	741.8
222	-3.5	-1.1	742.3
223	-4.1	-1.0	742.7
224	-4.6	-1.0	743.2
225	-5.2	-1.0	743.7
226	-5.7	-1.0	744.1
227	-6.3	-0.9	744.6
228	-6.8	-0.9	745.1
229	-7.4	-0.9	745.6
230	-7.9	-0.9	746.1
231	-8.4	-0.9	746.6
232	-9.0	-0.9	747.1
233	-9.5	-0.8	747.6
234	-10.0	-0.8	748.1
235	-10.5	-0.8	748.6
236	-11.0	-0.8	749.2
237	-11.5	-0.8	749.7
238	-12.0	-0.8	750.2
239	-12.5	-0.8	750.8
240	-12.9	-0.8	751.3
241	-13.4	-0.8	751.9
242	-13.8	-0.8	752.4
243	-14.2	-0.8	753.0
244	-14.6	-0.8	753.5
245	-15.0	-0.8	754.1
246	-15.4	-0.8	754.6
247	-15.8	-0.8	755.2
248	-16.1	-0.8	755.8
249	-16.4	-0.8	756.4
250	-16.8	-0.8	756.9
251	-17.1	-0.7	757.5
252	-17.3	-0.7	758.1
253	-17.6	-0.7	758.7
254	-17.9	-0.6	759.2
255	-18.1	-0.6	759.8
256	-18.3	-0.6	760.4
257	-18.5	-0.5	761.0
258	-18.7	-0.5	761.6
259	-18.8	-0.4	762.2
260	-19.0	-0.4	762.7
261	-19.1	-0.3	763.3
262	-19.2	-0.2	763.9
263	-19.3	-0.2	764.5
264	-19.4	-0.1	765.0
265	-19.5	-0.0	765.6
266	-19.5	0.0	766.1
267	-19.5	0.1	766.7
268	-19.6	0.2	767.2
269	-19.6	0.3	767.8
270	-19.6	0.4	768.3
271	-19.5	0.4	768.8
272	-19.5	0.5	769.4
273	-19.4	0.6	769.9
274	-19.4	0.7	770.4
275	-19.3	0.8	770.9
276	-19.2	0.9	771.3
277	-19.1	1.0	771.8
278	-19.0	1.1	772.3
279	-18.9	1.1	772.7
280	-18.8	1.2	773.1
281	-18.6	1.3	773.6
282	-18.5	1.4	774.0
283	-18.3	1.5	774.3
284	-18.2	1.5	774.7
285	-18.0	1.6	775.1
286	-17.9	1.7	775.4
287	-17.7	1.7	775.7
288	-17.5	1.8	776.0
289	-17.4	1.8	776.3
290	-17.2	1.9	776.5
291	-17.0	1.9	776.8
292	-16.8	1.9	777.0
293	-16.7	2.0	777.2
294	-16.5	2.0	777.3
295	-16.3	2.0	777.5
296	-16.1	2.0	777.6
297	-16.0	2.0	777.7
298	-15.8	2.0	777.7
299	-15.6	2.0	777.8
300	-15.5	2.0	777.8
301	-15.3	2.0	777.8
302	-15.1	1.9	777.7
303	-15.0	1.9	777.7
304	-14.9	1.9	777.6
305	-14.7	1.8	777.4
306	-14.6	1.7	777.3
307	-14.5	1.7	777.1
308	-14.3	1.6	776.9
309	-14.2	1.5	776.6
310	-14.1	1.4	776.4
311	-14.0	1.3	776.1
312	-13.9	1.2	775.8
313	-13.9	1.1	775.4
314	-13.8	1.0	775.0
315	-13.7	0.9	774.6
316	-13.7	0.8	774.2
317	-13.6	0.6	773.8
318	-13.6	0.5	773.3
319	-13.5	0.4	772.8
320	-13.5	0.2	772.2
321	-13.5	0.1	771.7
322	-13.5	-0.1	771.1
323	-13.5	-0.2	770.5
324	-13.5	-0.4	769.9
325	-13.5	-0.6	769.3
326	-13.5	-0.7	768.7
327	-13.5	-0.9	768.0
328	-13.5	-1.1	767.4
329	-13.5	-1.2	766.7
330	-13.6	-1.4	766.0
331	-13.6	-1.6	765.3
332	-13.7	-1.8	764.6
333	-13.7	-1.9	763.8
334	-13.8	-2.1	763.1
335	-13.8	-2.3	762.4
336	-13.9	-2.5	761.6
337	-14.0	-2.6	760.9
338	-14.0	-2.8	760.2
339	-14.1	-3.0	759.4
340	-14.2	-3.2	758.7
341	-14.2	-3.3	758.0
342	-14.3	-3.5	757.2
343	-14.4	-3.7	756.5
344	-14.4	-3.8	755.8
345	-14.5	-4.0	755.1
346	-14.6	-4.2	754.4
347	-14.7	-4.3	753.7
348	-14.7	-4.5	753.0
349	-14.8	-4.6	752.3
350	-14.9	-4.8	751.6
351	-14.9	-4.9	751.0
352	-15.0	-5.1	750.3
353	-15.1	-5.2	749.7
354	-15.1	-5.3	749.1
355	-15.2	-5.5	748.5
356	-15.2	-5.6	747.9
357	-15.3	-5.7	747.3
358	-15.3	-5.8	746.7
359	-15.4	-5.9	746.2
360	-15.4	-6.0	745.7
361	-15.4	-6.1	745.1
362	-15.5	-6.3	744.6
363	-15.5	-6.3	744.2
364	-15.5	-6.4	743.7
365	-15.5	-6.5	743.2
366	-15.6	-6.6	742.8
367	-15.6	-6.7	742.4
368	-15.6	-6.8	741.9
369	-15.6	-6.8	741.5
370	-15.6	-6.9	741.2
371	-15.6	-7.0	740.8
372	-15.5	-7.0	740.4
373	-15.5	-7.1	740.1
374	-15.5	-7.1	739.7
375	-15.5	-7.2	739.4
376	-15.4	-7.2	739.1
377	-15.4	-7.3	738.8
378	-15.4	-7.3	738.5
379	-15.3	-7.3	738.2
380	-15.3	-7.4	737.9
381	-15.2	-7.4	737.6
382	-15.2	-7.4	737.4
383	-15.1	-7.4	737.1
384	-15.0	-7.5	736.9
385	-15.0	-7.5	736.6
386	-14.9	-7.5	736.4
387	-14.8	-7.5	736.2
388	-14.8	-7.5	736.0
389	-14.7	-7.5	735.7
390	-14.6	-7.5	735.5
391	-14.5	-7.5	735.3
392	-14.4	-7.5	735.1
393	-14.3	-7.5	734.9
394	-14.2	-7.5	734.7
395	-14.1	-7.5	734.5
396	-14.0	-7.5	734.4
397	-13.9	-7.5	734.2
398	-13.8	-7.5	734.0
399	-13.7	-7.5	733.8
400	-13.6	-7.5	733.6
401	-13.5	-7.5	733.5
402	-13.4	-7.5	733.3
403	-13.3	-7.5	733.1
404	-13.2	-7.5	732.9
405	-13.1	-7.5	732.8
406	-13.0	-7.5	732.6
407	-12.9	-7.5	732.5
408	-12.8	-7.4	732.3
409	-12.7	-7.4	732.1
410	-12.6	-7.4	732.0
411	-12.5	-7.4	731.8
412	-12.4	-7.4	731.6
413	-12.3	-7.4	731.5
414	-12.2	-7.4	731.3
415	-12.1	-7.4	731.2
416	-12.0	-7.4	731.0
417	-11.9	-7.4	730.8
418	-11.8	-7.4	730.7
419	-11.7	-7.4	730.5
420	-11.6	-7.4	730.4
421	-11.6	-7.4	730.2
422	-11.5	-7.4	730.0
423	-11.4	-7.4	729.8
424	-11.3	-7.4	729.7
425	-11.2	-7.4	729.5
426	-11.2	-7.4	729.3
427	-11.1	-7.4	729.1
428	-11.0	-7.4	729.0
429	-10.9	-7.4	728.8
430	-10.9	-7.4	728.6
431	-10.8	-7.4	728.4
432	-10.8	-7.4	728.2
433	-10.7	-7.4	728.0
434	-10.6	-7.4	727.8
435	-10.6	-7.5	727.6
436	-10.5	-7.5	727.4
437	-10.5	-7.5	727.2
438	-10.4	-7.5	727.0
439	-10.4	-7.5	726.7
440	-10.3	-7.5	726.5
441	-10.3	-7.5	726.3
442	-10.3	-7.5	726.0
443	-10.2	-7.5	725.8
444	-10.2	-7.5	725.6
445	-10.2	-7.5	725.3
446	-10.1	-7.5	725.1
447	-10.1	-7.5	724.8
448	-10.1	-7.5	724.6
