	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d
	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
94	-18.14	1.34	3.44	-3.59	-2.20	-0.23
95	-18.20	1.33	3.44	-3.65	-2.26	-0.23
96	-18.14	1.30	3.43	-3.74	-2.32	-0.24
97	-18.15	1.28	3.43	-3.82	-2.40	-0.25
98	-18.17	1.27	3.42	-3.85	-2.43	-0.25
99	-18.08	1.24	3.41	-3.95	-2.47	-0.26
100	-18.12	1.23	3.40	-3.95	-2.51	-0.26
101	-18.04	1.21	3.39	-3.97	-2.51	-0.26
102	-18.02	1.20	3.38	-4.01	-2.54	-0.25
103	-17.96	1.18	3.37	-3.96	-2.51	-0.25
104	-17.93	1.17	3.35	-3.95	-2.51	-0.25
105	-17.79	1.16	3.33	-3.93	-2.49	-0.24
106	-17.79	1.15	3.31	-3.91	-2.45	-0.24
107	-17.65	1.14	3.29	-3.87	-2.41	-0.23
108	-17.53	1.13	3.27	-3.81	-2.36	-0.22
109	-17.41	1.13	3.24	-3.78	-2.30	-0.21
110	-17.29	1.12	3.21	-3.75	-2.22	-0.20
111	-17.06	1.11	3.18	-3.66	-2.15	-0.19
112	-16.93	1.11	3.15	-3.66	-2.07	-0.18
113	-16.70	1.11	3.11	-3.57	-1.97	-0.17
114	-16.48	1.11	3.07	-3.49	-1.87	-0.16
115	-16.23	1.12	3.04	-3.46	-1.78	-0.14
116	-15.89	1.11	2.99	-3.42	-1.68	-0.13
117	-15.65	1.13	2.95	-3.31	-1.57	-0.12
118	-15.24	1.13	2.90	-3.24	-1.46	-0.11
119	-14.91	1.14	2.86	-3.21	-1.35	-0.11
120	-14.45	1.14	2.81	-3.07	-1.24	-0.10
121	-14.02	1.15	2.76	-3.01	-1.11	-0.09
122	-13.56	1.17	2.71	-2.91	-1.01	-0.09
123	-13.02	1.17	2.65	-2.75	-0.89	-0.08
124	-12.46	1.18	2.59	-2.67	-0.77	-0.08
125	-11.86	1.19	2.53	-2.54	-0.66	-0.09
126	-11.26	1.21	2.48	-2.33	-0.55	-0.09
127	-10.60	1.22	2.41	-2.20	-0.44	-0.09
128	-9.92	1.23	2.35	-2.05	-0.33	-0.10
129	-9.22	1.25	2.28	-1.81	-0.22	-0.11
130	-8.55	1.27	2.22	-1.59	-0.11	-0.12
131	-7.74	1.28	2.15	-1.43	-0.01	-0.13
132	-7.03	1.29	2.08	-1.12	0.09	-0.14
133	-6.30	1.32	2.01	-0.90	0.23	-0.16
134	-5.52	1.33	1.93	-0.66	0.31	-0.18
135	-4.81	1.36	1.86	-0.35	0.43	-0.20
136	-4.05	1.38	1.78	-0.11	0.55	-0.22
137	-3.38	1.41	1.70	0.23	0.67	-0.24
138	-2.66	1.44	1.62	0.49	0.79	-0.26
139	-1.99	1.47	1.54	0.78	0.93	-0.29
140	-1.34	1.50	1.45	1.12	1.06	-0.31
141	-0.73	1.54	1.36	1.33	1.21	-0.34
142	-0.13	1.58	1.27	1.68	1.33	-0.37
143	0.37	1.64	1.18	1.90	1.50	-0.40
144	0.99	1.70	1.07	2.18	1.66	-0.42
145	1.38	1.78	0.97	2.45	1.81	-0.45
146	1.92	1.85	0.87	2.67	1.99	-0.49
147	2.27	1.95	0.76	2.94	2.16	-0.52
148	2.62	2.05	0.65	3.14	2.35	-0.56
149	2.99	2.16	0.53	3.42	2.52	-0.59
150	3.25	2.28	0.41	3.59	2.73	-0.64
151	3.50	2.39	0.28	3.84	2.92	-0.68
152	3.68	2.52	0.16	4.05	3.12	-0.73
153	3.86	2.63	0.03	4.20	3.31	-0.78
154	3.88	2.76	-0.10	4.47	3.51	-0.83
155	3.97	2.86	-0.23	4.60	3.70	-0.89
156	3.95	2.97	-0.36	4.77	3.88	-0.95
157	3.90	3.06	-0.49	4.91	4.06	-1.02
158	3.78	3.15	-0.61	5.09	4.22	-1.08
159	3.66	3.21	-0.73	5.19	4.37	-1.16
160	3.44	3.27	-0.84	5.29	4.51	-1.23
161	3.24	3.32	-0.95	5.39	4.63	-1.31
162	2.96	3.35	-1.06	5.44	4.74	-1.39
163	2.71	3.37	-1.15	5.48	4.85	-1.47
164	2.42	3.37	-1.24	5.54	4.91	-1.54
165	2.06	3.37	-1.32	5.58	4.97	-1.62
166	1.76	3.35	-1.39	5.50	5.02	-1.71
167	-2.48	2.75	-1.14	5.56	5.02	-1.77
168	-2.59	2.69	-1.16	5.55	5.03	-1.85
169	-2.68	2.60	-1.17	5.50	5.01	-1.91
170	-2.81	2.50	-1.16	5.45	4.99	-1.98
171	-2.91	2.38	-1.15	5.50	4.92	-2.03
172	-3.01	2.24	-1.11	5.42	4.86	-2.08
173	-3.12	2.10	-1.07	5.44	4.79	-2.13
174	-3.25	1.94	-1.01	5.42	4.69	-2.16
175	-3.37	1.78	-0.94	5.43	4.60	-2.20
176	0.84	3.39	-2.13	5.46	4.48	-2.22
177	1.08	3.41	-2.23	5.51	4.35	-2.24
178	1.29	3.43	-2.32	5.60	4.21	-2.25
179	1.52	3.47	-2.42	5.68	4.06	-2.25
180	1.80	3.50	-2.51	5.87	3.90	-2.23
181	2.11	3.53	-2.60	5.99	3.75	-2.22
182	2.34	3.57	-2.69	6.23	3.60	-2.20
183	2.65	3.61	-2.79	6.51	3.43	-2.16
184	2.98	3.65	-2.87	6.75	3.29	-2.14
185	3.24	3.71	-2.98	7.11	3.16	-2.12
186	3.60	3.76	-3.08	7.49	3.03	-2.10
187	3.99	3.81	-3.19	7.88	2.91	-2.09
188	4.39	3.88	-3.31	8.41	2.79	-2.06
189	4.76	3.96	-3.45	8.91	2.69	-2.05
190	5.33	4.02	-3.59	9.49	2.59	-2.05
191	5.88	4.10	-3.75	10.13	2.49	-2.04
192	6.46	4.19	-3.93	10.81	2.41	-2.05
193	7.20	4.26	-4.11	11.54	2.33	-2.07
194	7.95	4.35	-4.31	12.33	2.26	-2.10
195	8.84	4.42	-4.51	13.12	2.18	-2.12
196	9.87	4.48	-4.71	14.02	2.11	-2.18
197	10.86	4.55	-4.94	14.87	2.04	-2.23
198	12.10	4.57	-5.15	15.84	1.97	-2.30
199	13.42	4.59	-5.35	16.77	1.89	-2.36
200	14.79	4.59	-5.56	17.76	1.80	-2.44
201	16.31	4.56	-5.75	18.73	1.70	-2.52
202	17.98	4.50	-5.91	19.76	1.59	-2.59
203	19.72	4.41	-6.05	20.76	1.45	-2.64
204	21.57	4.29	-6.17	21.76	1.31	-2.71
205	23.55	4.13	-6.24	22.83	1.13	-2.72
206	25.60	3.94	-6.29	23.77	0.94	-2.74
207	27.74	3.72	-6.28	24.83	0.72	-2.72
208	29.99	3.46	-6.23	25.87	0.48	-2.68
209	32.27	3.18	-6.13	26.79	0.24	-2.61
210	34.61	2.87	-5.98	27.87	-0.06	-2.49
211	37.05	2.53	-5.76	28.89	-0.36	-2.34
