	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d
	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Hip_Angle	R_Ankle_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Hip_Angle	R_Ankle_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Hip_Angle	R_Ankle_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	Y	X	X	Y	Z	Y	X	X	Y	Z	Y	X
30	20.72	-1.33	-0.15	1.83	74.98	31.86	-2.66	-0.52	0.89	77.67	36.39	-2.63	0.93	1.30	79.23
31	20.99	-1.40	-0.14	1.82	75.06	32.24	-2.71	-0.49	1.00	77.85	36.75	-2.64	0.98	1.45	79.37
32	21.27	-1.47	-0.13	1.82	75.14	32.62	-2.77	-0.47	1.12	78.03	37.10	-2.65	1.02	1.60	79.50
33	21.54	-1.54	-0.13	1.82	75.23	33.00	-2.82	-0.44	1.25	78.21	37.45	-2.65	1.06	1.76	79.63
34	21.83	-1.61	-0.13	1.82	75.31	33.37	-2.86	-0.40	1.37	78.39	37.80	-2.66	1.09	1.92	79.77
35	22.11	-1.68	-0.14	1.83	75.40	33.74	-2.91	-0.36	1.50	78.57	38.15	-2.67	1.12	2.10	79.90
36	22.40	-1.75	-0.15	1.84	75.49	34.11	-2.95	-0.32	1.64	78.76	38.49	-2.67	1.15	2.28	80.03
37	22.69	-1.81	-0.17	1.84	75.58	34.47	-3.00	-0.28	1.78	78.94	38.84	-2.68	1.17	2.47	80.16
38	22.98	-1.88	-0.20	1.85	75.67	34.83	-3.03	-0.23	1.93	79.12	39.17	-2.69	1.18	2.67	80.29
39	23.28	-1.95	-0.23	1.87	75.76	35.19	-3.07	-0.19	2.08	79.31	39.51	-2.71	1.20	2.87	80.42
40	23.59	-2.01	-0.26	1.88	75.85	35.55	-3.10	-0.14	2.24	79.49	39.84	-2.72	1.20	3.08	80.56
41	23.89	-2.08	-0.30	1.90	75.95	35.90	-3.13	-0.10	2.41	79.67	40.16	-2.74	1.21	3.30	80.69
42	24.21	-2.14	-0.34	1.93	76.04	36.26	-3.15	-0.06	2.58	79.86	40.48	-2.76	1.21	3.52	80.82
43	24.53	-2.20	-0.38	1.95	76.14	36.61	-3.17	-0.02	2.76	80.04	40.80	-2.78	1.21	3.75	80.95
44	24.85	-2.26	-0.43	1.98	76.24	36.96	-3.19	0.01	2.95	80.23	41.11	-2.81	1.21	3.98	81.08
45	25.18	-2.32	-0.47	2.01	76.34	37.32	-3.20	0.04	3.14	80.41	41.41	-2.84	1.21	4.21	81.21
46	25.52	-2.38	-0.52	2.04	76.44	37.67	-3.21	0.07	3.33	80.60	41.71	-2.87	1.20	4.45	81.33
