	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 2.c3d
	FP3	FP3	FP3
	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z
1	12.0	-23.3	705.7
2	12.0	-23.1	705.0
3	12.1	-22.8	704.3
4	12.1	-22.6	703.6
5	12.2	-22.3	703.1
6	12.3	-22.0	702.6
7	12.4	-21.7	702.1
8	12.6	-21.4	701.7
9	12.7	-21.0	701.4
10	12.8	-20.6	701.1
11	13.0	-20.2	700.9
12	13.2	-19.8	700.8
13	13.4	-19.3	700.7
14	13.6	-18.8	700.7
15	13.9	-18.3	700.7
16	14.1	-17.8	700.9
17	14.4	-17.3	701.0
18	14.7	-16.7	701.3
19	15.0	-16.1	701.7
20	15.3	-15.5	702.1
21	15.7	-14.9	702.6
22	16.0	-14.3	703.2
23	16.4	-13.6	703.8
24	16.8	-13.0	704.6
25	17.3	-12.3	705.4
26	17.7	-11.6	706.3
27	18.2	-10.9	707.3
28	18.7	-10.2	708.4
29	19.2	-9.5	709.6
30	19.8	-8.7	710.9
31	20.4	-8.0	712.2
32	21.0	-7.3	713.7
33	21.6	-6.6	715.2
34	22.2	-5.8	716.8
35	22.9	-5.1	718.5
36	23.5	-4.4	720.3
37	24.2	-3.7	722.1
38	24.9	-3.0	724.0
39	25.7	-2.3	726.0
40	26.4	-1.6	728.1
41	27.2	-0.9	730.2
42	28.0	-0.2	732.4
43	28.8	0.4	734.6
44	29.6	1.0	736.9
45	30.4	1.7	739.2
46	31.2	2.2	741.6
47	32.0	2.8	744.0
48	32.9	3.4	746.5
49	33.7	3.9	748.9
50	34.5	4.4	751.4
51	35.4	4.8	753.9
52	36.2	5.3	756.4
53	37.0	5.7	758.9
54	37.9	6.1	761.4
55	38.7	6.5	763.9
56	39.5	6.8	766.4
57	40.3	7.1	768.9
58	41.1	7.4	771.3
59	41.8	7.7	773.7
60	42.6	7.9	776.1
61	43.3	8.1	778.4
62	44.0	8.3	780.7
63	44.7	8.4	782.9
64	45.3	8.5	785.0
65	46.0	8.6	787.1
