	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
275	-2.2	36.6	982.6	-16.7	47.6	1091.3	-14.4	24.2	902.4
276	-2.5	37.2	985.1	-16.2	48.1	1092.5	-14.2	24.6	903.7
277	-2.8	37.7	987.7	-15.7	48.6	1093.6	-13.9	25.1	905.1
278	-3.1	38.3	990.2	-15.1	49.0	1094.6	-13.6	25.5	906.5
279	-3.4	38.8	992.7	-14.6	49.5	1095.5	-13.3	25.9	907.8
280	-3.7	39.4	995.1	-14.0	50.0	1096.4	-13.0	26.3	909.2
281	-4.0	39.9	997.5	-13.5	50.5	1097.3	-12.7	26.7	910.5
282	-4.2	40.5	1000.0	-12.9	51.0	1098.1	-12.4	27.1	911.9
283	-4.5	41.0	1002.3	-12.3	51.5	1098.8	-12.1	27.6	913.2
284	-4.8	41.6	1004.7	-11.7	52.0	1099.5	-11.7	28.0	914.6
285	-5.0	42.1	1007.0	-11.1	52.6	1100.1	-11.4	28.4	915.9
286	-5.2	42.6	1009.3	-10.5	53.1	1100.6	-11.0	28.8	917.2
287	-5.5	43.2	1011.6	-9.9	53.7	1101.1	-10.7	29.2	918.5
288	-5.7	43.7	1013.9	-9.2	54.2	1101.5	-10.3	29.6	919.8
289	-5.9	44.2	1016.1	-8.6	54.8	1101.9	-9.9	30.0	921.1
290	-6.1	44.8	1018.3	-7.9	55.4	1102.2	-9.5	30.4	922.4
291	-6.2	45.3	1020.4	-7.3	56.0	1102.5	-9.1	30.8	923.7
292	-6.4	45.8	1022.6	-6.6	56.6	1102.7	-8.7	31.2	925.0
293	-6.6	46.3	1024.7	-6.0	57.2	1102.8	-8.3	31.6	926.2
294	-6.7	46.9	1026.7	-5.3	57.9	1102.9	-7.9	32.0	927.5
295	-6.8	47.4	1028.7	-4.6	58.5	1102.9	-7.5	32.4	928.7
296	-6.9	47.9	1030.7	-4.0	59.2	1102.9	-7.1	32.8	929.9
297	-7.0	48.4	1032.7	-3.3	59.9	1102.9	-6.6	33.2	931.1
298	-7.1	48.9	1034.6	-2.6	60.6	1102.8	-6.2	33.6	932.3
299	-7.2	49.4	1036.5	-1.9	61.3	1102.7	-5.7	34.0	933.5
300	-7.3	49.9	1038.3	-1.2	62.0	1102.5	-5.3	34.3	934.7
301	-7.3	50.3	1040.1	-0.5	62.8	1102.3	-4.8	34.7	935.8
302	-7.3	50.8	1041.9	0.2	63.5	1102.0	-4.4	35.1	937.0
303	-7.3	51.3	1043.6	0.8	64.3	1101.7	-3.9	35.5	938.1
304	-7.4	51.7	1045.3	1.5	65.1	1101.4	-3.4	35.9	939.3
305	-7.3	52.2	1046.9	2.2	65.9	1101.1	-2.9	36.3	940.4
306	-7.3	52.6	1048.5	2.9	66.7	1100.7	-2.5	36.7	941.5
307	-7.3	53.0	1050.0	3.6	67.6	1100.3	-2.0	37.1	942.5
308	-7.2	53.4	1051.5	4.2	68.4	1099.9	-1.5	37.5	943.6
309	-7.2	53.8	1053.0	4.9	69.3	1099.4	-1.0	37.9	944.7
310	-7.1	54.2	1054.4	5.5	70.2	1099.0	-0.5	38.3	945.7
311	-7.0	54.6	1055.8	6.2	71.1	1098.5	-0.0	38.7	946.7
312	-6.9	55.0	1057.1	6.8	72.1	1098.1	0.5	39.2	947.8
313	-6.7	55.3	1058.4	7.5	73.0	1097.6	0.9	39.6	948.8
314	-6.6	55.7	1059.6	8.1	74.0	1097.1	1.4	40.0	949.8
315	-6.5	56.0	1060.8	8.7	75.0	1096.6	1.9	40.4	950.7
316	-6.3	56.4	1062.0	9.3	76.0	1096.1	2.4	40.9	951.7
317	-6.1	56.7	1063.1	9.9	77.1	1095.6	2.9	41.3	952.7
318	-5.9	57.0	1064.2	10.5	78.1	1095.2	3.4	41.8	953.6
319	-5.8	57.3	1065.2	11.0	79.2	1094.7	3.9	42.2	954.5
320	-5.6	57.6	1066.2	11.6	80.3	1094.2	4.4	42.7	955.5
321	-5.3	57.9	1067.2	12.1	81.4	1093.8	4.9	43.2	956.4
322	-5.1	58.1	1068.1	12.6	82.6	1093.3	5.4	43.7	957.3
323	-4.9	58.4	1069.0	13.1	83.7	1092.9	5.8	44.2	958.1
324	-4.6	58.6	1069.8	13.6	84.9	1092.5	6.3	44.6	959.0
325	-4.4	58.9	1070.6	14.1	86.1	1092.1	6.8	45.2	959.9
326	-4.1	59.1	1071.4	14.5	87.3	1091.8	7.3	45.7	960.7
327	-3.8	59.4	1072.2	15.0	88.6	1091.4	7.7	46.2	961.6
328	-3.6	59.6	1072.9	15.4	89.8	1091.1	8.2	46.7	962.4
329	-3.3	59.8	1073.7	15.8	91.1	1090.8	8.7	47.3	963.2
330	-3.0	60.0	1074.4	16.1	92.4	1090.6	9.1	47.8	964.0
331	-2.7	60.2	1075.0	16.5	93.7	1090.3	9.6	48.4	964.8
332	-2.4	60.4	1075.7	16.8	95.0	1090.1	10.0	49.0	965.6
333	-2.1	60.6	1076.3	17.1	96.4	1089.9	10.5	49.5	966.4
334	-1.8	60.9	1077.0	17.4	97.8	1089.8	10.9	50.1	967.2
335	-1.5	61.1	1077.6	17.7	99.2	1089.6	11.4	50.7	968.0
336	-1.2	61.3	1078.2	17.9	100.6	1089.5	11.8	51.4	968.7
337	-0.9	61.5	1078.9	18.2	102.0	1089.4	12.2	52.0	969.5
338	-0.6	61.7	1079.5	18.4	103.4	1089.3	12.6	52.6	970.2
339	-0.2	61.9	1080.1	18.6	104.9	1089.3	13.1	53.3	971.0
340	0.1	62.1	1080.8	18.7	106.4	1089.3	13.5	53.9	971.7
341	0.4	62.4	1081.4	18.9	107.9	1089.2	13.9	54.6	972.4
342	0.7	62.6	1082.1	19.0	109.4	1089.2	14.3	55.3	973.1
343	1.0	62.9	1082.7	19.1	110.9	1089.3	14.7	56.0	973.9
344	1.3	63.1	1083.4	19.2	112.4	1089.3	15.1	56.7	974.6
345	1.6	63.4	1084.1	19.2	113.9	1089.3	15.5	57.4	975.3
346	1.9	63.7	1084.8	19.3	115.5	1089.4	15.9	58.1	976.0
347	2.2	64.0	1085.6	19.3	117.0	1089.4	16.3	58.9	976.7
348	2.4	64.3	1086.4	19.3	118.6	1089.5	16.6	59.6	977.4
349	2.7	64.6	1087.2	19.3	120.2	1089.6	17.0	60.4	978.1
350	3.0	65.0	1088.0	19.3	121.8	1089.6	17.4	61.1	978.8
351	3.2	65.3	1088.9	19.2	123.3	1089.7	17.7	61.9	979.5
352	3.5	65.7	1089.8	19.2	124.9	1089.7	18.1	62.7	980.2
353	3.7	66.1	1090.7	19.1	126.5	1089.8	18.5	63.5	980.9
354	3.9	66.6	1091.7	19.0	128.1	1089.8	18.8	64.4	981.6
355	4.1	67.0	1092.7	18.9	129.7	1089.8	19.1	65.2	982.3
356	4.3	67.5	1093.8	18.7	131.3	1089.9	19.5	66.1	983.0
357	4.5	68.0	1094.9	18.6	132.9	1089.8	19.8	66.9	983.7
358	4.7	68.5	1096.0	18.4	134.4	1089.8	20.1	67.8	984.4
359	4.8	69.1	1097.2	18.3	136.0	1089.8	20.4	68.7	985.1
360	5.0	69.6	1098.4	18.1	137.6	1089.7	20.7	69.6	985.8
361	5.1	70.2	1099.7	17.9	139.1	1089.6	21.0	70.5	986.6
362	5.2	70.9	1100.9	17.6	140.7	1089.4	21.3	71.4	987.3
363	5.4	71.5	1102.3	17.4	142.2	1089.3	21.6	72.3	988.0
364	5.5	72.2	1103.7	17.2	143.7	1089.1	21.9	73.3	988.8
365	5.5	72.9	1105.1	16.9	145.2	1088.8	22.1	74.2	989.5
366	5.6	73.6	1106.5	16.6	146.7	1088.6	22.4	75.2	990.3
367	5.7	74.4	1108.0	16.4	148.2	1088.3	22.6	76.2	991.1
368	5.7	75.1	1109.5	16.1	149.7	1087.9	22.9	77.1	991.9
369	5.7	75.9	1111.1	15.8	151.1	1087.5	23.1	78.1	992.6
370	5.8	76.7	1112.7	15.5	152.5	1087.1	23.3	79.1	993.5
371	5.8	77.6	1114.3	15.1	154.0	1086.6	23.5	80.2	994.3
372	5.8	78.4	1115.9	14.8	155.3	1086.1	23.7	81.2	995.1
373	5.7	79.3	1117.6	14.5	156.7	1085.5	23.9	82.2	995.9
374	5.7	80.2	1119.2	14.1	158.1	1084.9	24.1	83.3	996.8
375	5.7	81.1	1121.0	13.8	159.4	1084.3	24.3	84.3	997.6
376	5.6	82.1	1122.7	13.4	160.7	1083.6	24.5	85.4	998.5
377	5.5	83.0	1124.4	13.0	161.9	1082.8	24.6	86.4	999.4
378	5.5	84.0	1126.2	12.6	163.2	1082.0	24.7	87.5	1000.2
379	5.4	85.0	1127.9	12.2	164.4	1081.2	24.9	88.6	1001.2
380	5.3	86.0	1129.7	11.8	165.6	1080.3	25.0	89.7	1002.1
381	5.2	87.0	1131.4	11.4	166.8	1079.4	25.1	90.8	1003.0
382	5.0	88.0	1133.2	11.0	167.9	1078.4	25.2	91.9	1003.9
383	4.9	89.0	1135.0	10.6	169.1	1077.3	25.2	93.0	1004.9
384	4.8	90.0	1136.7	10.2	170.2	1076.2	25.3	94.1	1005.8
385	4.6	91.1	1138.5	9.7	171.2	1075.1	25.4	95.3	1006.8
386	4.5	92.1	1140.2	9.3	172.3	1073.9	25.4	96.4	1007.8
387	4.3	93.1	1142.0	8.8	173.3	1072.7	25.4	97.5	1008.8
388	4.1	94.2	1143.7	8.4	174.3	1071.4	25.4	98.7	1009.8
389	3.9	95.2	1145.4	7.9	175.2	1070.1	25.4	99.8	1010.8
390	3.8	96.3	1147.1	7.5	176.2	1068.8	25.4	101.0	1011.8
391	3.6	97.3	1148.7	7.0	177.1	1067.3	25.4	102.1	1012.9
392	3.4	98.3	1150.3	6.6	177.9	1065.9	25.3	103.3	1013.9
393	3.1	99.4	1151.9	6.1	178.8	1064.4	25.2	104.4	1015.0
394	2.9	100.4	1153.5	5.6	179.6	1062.9	25.2	105.6	1016.1
395	2.7	101.4	1155.0	5.1	180.4	1061.3	25.1	106.7	1017.1
396	2.5	102.4	1156.5	4.7	181.1	1059.7	25.0	107.9	1018.2
397	2.2	103.4	1158.0	4.2	181.9	1058.0	24.8	109.0	1019.3
398	2.0	104.4	1159.4	3.7	182.6	1056.3	24.7	110.2	1020.4
399	1.7	105.4	1160.8	3.2	183.3	1054.6	24.5	111.3	1021.5
400	1.5	106.4	1162.1	2.8	183.9	1052.8	24.4	112.5	1022.6
401	1.2	107.3	1163.3	2.3	184.5	1051.0	24.2	113.6	1023.7
402	1.0	108.3	1164.6	1.8	185.1	1049.1	24.0	114.8	1024.9
403	0.7	109.2	1165.7	1.3	185.7	1047.2	23.8	115.9	1026.0
404	0.5	110.1	1166.8	0.8	186.2	1045.3	23.5	117.0	1027.1
405	0.2	111.0	1167.9	0.4	186.7	1043.3	23.3	118.1	1028.3
406	-0.1	111.9	1168.9	-0.1	187.2	1041.3	23.0	119.3	1029.4
407	-0.4	112.8	1169.8	-0.6	187.7	1039.3	22.8	120.4	1030.5
408	-0.7	113.6	1170.7	-1.0	188.1	1037.3	22.5	121.4	1031.6
409	-0.9	114.5	1171.5	-1.5	188.5	1035.2	22.2	122.5	1032.8
410	-1.2	115.3	1172.3	-2.0	188.8	1033.0	21.9	123.6	1033.9
411	-1.5	116.1	1173.0	-2.4	189.1	1030.9	21.5	124.6	1035.0
412	-1.8	116.8	1173.6	-2.9	189.4	1028.7	21.2	125.7	1036.1
413	-2.1	117.6	1174.2	-3.3	189.7	1026.5	20.8	126.7	1037.2
414	-2.4	118.3	1174.6	-3.8	189.9	1024.2	20.5	127.7	1038.3
415	-2.7	119.0	1175.1	-4.2	190.1	1022.0	20.1	128.7	1039.4
416	-3.0	119.7	1175.4	-4.7	190.3	1019.7	19.7	129.7	1040.5
417	-3.3	120.4	1175.7	-5.1	190.4	1017.3	19.3	130.6	1041.6
418	-3.6	121.1	1176.0	-5.5	190.5	1015.0	18.9	131.6	1042.7
419	-3.9	121.7	1176.1	-6.0	190.5	1012.6	18.4	132.5	1043.7
420	-4.2	122.4	1176.2	-6.4	190.5	1010.2	18.0	133.4	1044.7
421	-4.5	123.0	1176.2	-6.8	190.5	1007.8	17.6	134.2	1045.7
422	-4.8	123.6	1176.2	-7.2	190.4	1005.3	17.1	135.1	1046.7
423	-5.1	124.1	1176.1	-7.6	190.3	1002.9	16.6	135.9	1047.7
424	-5.4	124.7	1175.9	-8.0	190.2	1000.4	16.2	136.7	1048.6
425	-5.7	125.2	1175.7	-8.4	190.0	997.9	15.7	137.5	1049.6
426	-6.0	125.7	1175.3	-8.7	189.8	995.4	15.2	138.2	1050.5
427	-6.3	126.2	1175.0	-9.1	189.5	992.9	14.7	138.9	1051.3
428	-6.6	126.7	1174.5	-9.5	189.2	990.3	14.2	139.6	1052.2
429	-6.9	127.2	1174.0	-9.8	188.8	987.8	13.7	140.2	1053.0
430	-7.2	127.7	1173.5	-10.2	188.4	985.2	13.2	140.8	1053.8
431	-7.5	128.1	1172.9	-10.5	188.0	982.6	12.7	141.4	1054.6
432	-7.8	128.5	1172.2	-10.8	187.5	980.1	12.2	141.9	1055.3
433	-8.1	128.9	1171.4	-11.1	187.0	977.5	11.7	142.4	1056.0
434	-8.4	129.3	1170.6	-11.4	186.4	974.9	11.1	142.9	1056.6
435	-8.7	129.7	1169.8	-11.7	185.8	972.3	10.6	143.3	1057.2
436	-9.0	130.1	1168.9	-12.0	185.2	969.7	10.1	143.7	1057.8
437	-9.3	130.5	1167.9	-12.3	184.5	967.2	9.6	144.1	1058.4
438	-9.6	130.8	1166.9	-12.6	183.7	964.6	9.1	144.4	1058.9
439	-9.8	131.2	1165.9	-12.9	183.0	962.0	8.6	144.7	1059.3
440	-10.1	131.5	1164.7	-13.1	182.1	959.5	8.1	144.9	1059.7
441	-10.4	131.8	1163.6	-13.4	181.3	957.0	7.6	145.1	1060.1
442	-10.7	132.1	1162.4	-13.6	180.4	954.5	7.1	145.3	1060.4
443	-11.0	132.4	1161.1	-13.8	179.4	952.0	6.6	145.4	1060.7
444	-11.2	132.7	1159.8	-14.1	178.4	949.5	6.1	145.5	1061.0
445	-11.5	133.0	1158.5	-14.3	177.4	947.1	5.7	145.5	1061.2
446	-11.8	133.3	1157.1	-14.5	176.3	944.6	5.2	145.5	1061.3
447	-12.1	133.5	1155.7	-14.7	175.2	942.2	4.8	145.4	1061.4
448	-12.3	133.8	1154.2	-14.9	174.1	939.9	4.3	145.3	1061.5
449	-12.6	134.0	1152.8	-15.0	172.9	937.6	3.9	145.2	1061.5
450	-12.9	134.3	1151.2	-15.2	171.7	935.3	3.5	145.0	1061.5
451	-13.1	134.5	1149.7	-15.4	170.4	933.0	3.1	144.7	1061.4
452	-13.4	134.7	1148.1	-15.5	169.1	930.8	2.7	144.4	1061.3
453	-13.6	134.9	1146.5	-15.6	167.7	928.7	2.3	144.1	1061.2
454	-13.9	135.1	1144.8	-15.8	166.4	926.5	2.0	143.8	1061.0
455	-14.1	135.3	1143.2	-15.9	164.9	924.5	1.6	143.4	1060.7
456	-14.4	135.5	1141.5	-16.0	163.5	922.5	1.3	142.9	1060.5
457	-14.6	135.7	1139.7	-16.1	162.0	920.5	0.9	142.4	1060.2
458	-14.9	135.9	1138.0	-16.1	160.5	918.6	0.6	141.9	1059.8
459	-15.1	136.0	1136.2	-16.2	158.9	916.7	0.3	141.3	1059.5
460	-15.3	136.2	1134.4	-16.2	157.3	915.0	0.1	140.7	1059.0
461	-15.6	136.3	1132.6	-16.3	155.7	913.2	-0.2	140.1	1058.6
462	-15.8	136.5	1130.8	-16.3	154.0	911.6	-0.5	139.4	1058.1
463	-16.0	136.6	1129.0	-16.3	152.3	910.0	-0.7	138.7	1057.7
464	-16.3	136.7	1127.1	-16.3	150.6	908.5	-0.9	138.0	1057.1
465	-16.5	136.8	1125.2	-16.3	148.8	907.0	-1.1	137.2	1056.6
466	-16.7	136.9	1123.4	-16.3	147.0	905.6	-1.3	136.4	1056.0
467	-16.9	137.0	1121.5	-16.2	145.2	904.3	-1.5	135.6	1055.4
468	-17.1	137.1	1119.5	-16.2	143.3	903.1	-1.7	134.7	1054.8
469	-17.3	137.1	1117.6	-16.1	141.4	902.0	-1.8	133.8	1054.2
470	-17.5	137.2	1115.7	-16.0	139.5	900.9	-2.0	132.9	1053.6
471	-17.7	137.2	1113.7	-15.9	137.5	900.0	-2.1	132.0	1052.9
472	-17.9	137.2	1111.8	-15.8	135.6	899.1	-2.2	131.1	1052.3
473	-18.0	137.2	1109.8	-15.7	133.6	898.3	-2.3	130.1	1051.6
474	-18.2	137.2	1107.9	-15.6	131.5	897.6	-2.4	129.1	1050.9
475	-18.4	137.2	1105.9	-15.4	129.4	897.0	-2.4	128.1	1050.3
476	-18.5	137.1	1103.9	-15.2	127.3	896.5	-2.5	127.1	1049.6
477	-18.7	137.1	1102.0	-15.0	125.2	896.1	-2.5	126.0	1048.9
478	-18.8	137.0	1100.0	-14.8	123.1	895.9	-2.5	125.0	1048.2
479	-19.0	136.9	1098.0	-14.6	120.9	895.7	-2.5	123.9	1047.5
480	-19.1	136.8	1096.0	-14.4	118.7	895.6	-2.5	122.9	1046.8
481	-19.2	136.6	1094.0	-14.1	116.4	895.6	-2.5	121.8	1046.2
482	-19.4	136.5	1092.1	-13.9	114.2	895.8	-2.5	120.7	1045.5
483	-19.5	136.3	1090.1	-13.6	111.9	896.0	-2.4	119.7	1044.8
484	-19.6	136.1	1088.1	-13.3	109.6	896.4	-2.4	118.6	1044.1
485	-19.7	135.9	1086.2	-13.0	107.2	896.9	-2.3	117.5	1043.5
486	-19.8	135.7	1084.2	-12.7	104.9	897.5	-2.2	116.4	1042.8
487	-19.8	135.4	1082.3	-12.3	102.5	898.2	-2.1	115.3	1042.2
488	-19.9	135.1	1080.3	-12.0	100.1	899.1	-2.0	114.2	1041.5
489	-20.0	134.8	1078.4	-11.6	97.6	900.1	-1.8	113.1	1040.9
490	-20.1	134.5	1076.5	-11.2	95.2	901.2	-1.7	112.1	1040.3
491	-20.1	134.1	1074.6	-10.8	92.7	902.4	-1.5	111.0	1039.7
492	-20.2	133.8	1072.7	-10.4	90.2	903.8	-1.4	109.9	1039.1
493	-20.2	133.4	1070.8	-10.0	87.7	905.3	-1.2	108.8	1038.5
494	-20.2	132.9	1068.9	-9.5	85.1	906.9	-1.0	107.8	1037.9
495	-20.2	132.5	1067.1	-9.1	82.5	908.6	-0.8	106.7	1037.4
496	-20.2	132.0	1065.3	-8.6	80.0	910.5	-0.6	105.6	1036.8
497	-20.3	131.5	1063.5	-8.2	77.3	912.6	-0.4	104.6	1036.3
498	-20.2	131.0	1061.8	-7.7	74.7	914.7	-0.2	103.6	1035.8
499	-20.2	130.4	1060.0	-7.2	72.1	917.0	0.1	102.5	1035.2
500	-20.2	129.8	1058.3	-6.6	69.4	919.5	0.3	101.5	1034.7
501	-20.2	129.2	1056.7	-6.1	66.7	922.1	0.6	100.5	1034.2
502	-20.1	128.6	1055.0	-5.6	64.0	924.8	0.8	99.5	1033.8
503	-20.1	127.9	1053.4	-5.0	61.3	927.6	1.1	98.4	1033.3
504	-20.0	127.2	1051.9	-4.5	58.5	930.6	1.3	97.5	1032.9
505	-20.0	126.4	1050.4	-3.9	55.8	933.8	1.6	96.5	1032.4
506	-19.9	125.7	1048.9	-3.3	53.0	937.1	1.9	95.5	1032.0
507	-19.8	124.9	1047.5	-2.8	50.2	940.5	2.2	94.5	1031.6
508	-19.7	124.1	1046.1	-2.2	47.4	944.0	2.5	93.5	1031.2
509	-19.6	123.2	1044.7	-1.6	44.6	947.7	2.8	92.6	1030.8
510	-19.5	122.3	1043.4	-1.0	41.8	951.6	3.1	91.6	1030.5
511	-19.4	121.4	1042.2	-0.4	38.9	955.6	3.4	90.7	1030.1
512	-19.2	120.4	1041.0	0.2	36.1	959.7	3.7	89.8	1029.8
513	-19.1	119.4	1039.9	0.9	33.2	963.9	4.0	88.8	1029.4
514	-19.0	118.4	1038.8	1.5	30.3	968.3	4.3	87.9	1029.1
515	-18.8	117.3	1037.8	2.1	27.4	972.9	4.6	87.0	1028.8
516	-18.6	116.2	1036.8	2.7	24.5	977.5	4.9	86.1	1028.6
517	-18.4	115.1	1035.9	3.3	21.6	982.3	5.2	85.2	1028.3
518	-18.3	113.9	1035.0	4.0	18.7	987.3	5.5	84.3	1028.1
519	-18.1	112.7	1034.2	4.6	15.8	992.3	5.8	83.5	1027.9
520	-17.8	111.5	1033.5	5.2	12.8	997.5	6.1	82.6	1027.6
521	-17.6	110.2	1032.9	5.8	9.9	1002.8	6.4	81.7	1027.5
522	-17.4	108.9	1032.3	6.5	6.9	1008.3	6.7	80.8	1027.3
523	-17.1	107.6	1031.7	7.1	4.0	1013.9	6.9	80.0	1027.1
524	-16.9	106.2	1031.3	7.7	1.0	1019.6	7.2	79.1	1027.0
525	-16.6	104.8	1030.9	8.3	-1.9	1025.4	7.5	78.3	1026.9
526	-16.3	103.3	1030.5	8.9	-4.9	1031.4	7.8	77.4	1026.8
527	-16.0	101.8	1030.3	9.5	-7.9	1037.4	8.1	76.6	1026.8
528	-15.7	100.3	1030.1	10.1	-10.8	1043.6	8.3	75.7	1026.7
529	-15.4	98.7	1029.9	10.7	-13.8	1049.9	8.6	74.9	1026.7
530	-15.1	97.1	1029.9	11.3	-16.8	1056.3	8.9	74.0	1026.7
531	-14.8	95.5	1029.9	11.8	-19.7	1062.8	9.1	73.2	1026.7
532	-14.4	93.8	1030.0	12.4	-22.7	1069.5	9.3	72.3	1026.8
533	-14.0	92.1	1030.1	13.0	-25.7	1076.2	9.6	71.5	1026.9
534	-13.7	90.3	1030.4	13.5	-28.6	1083.0	9.8	70.6	1027.0
535	-13.3	88.6	1030.7	14.0	-31.6	1090.0	10.0	69.7	1027.1
536	-12.9	86.7	1031.1	14.5	-34.5	1097.0	10.2	68.9	1027.3
537	-12.4	84.9	1031.5	15.0	-37.4	1104.2	10.4	68.0	1027.5
538	-12.0	83.0	1032.0	15.5	-40.4	1111.4	10.6	67.1	1027.7
539	-11.5	81.1	1032.6	16.0	-43.3	1118.7	10.8	66.2	1028.0
540	-11.1	79.1	1033.3	16.4	-46.2	1126.1	11.0	65.4	1028.3
541	-10.6	77.1	1034.0	16.9	-49.1	1133.6	11.2	64.4	1028.6
542	-10.1	75.1	1034.9	17.3	-52.0	1141.2	11.4	63.5	1029.0
543	-9.6	73.0	1035.8	17.7	-54.9	1148.8	11.5	62.6	1029.4
544	-9.0	70.9	1036.7	18.1	-57.8	1156.5	11.7	61.7	1029.8
545	-8.5	68.8	1037.8	18.4	-60.6	1164.3	11.8	60.7	1030.3
546	-7.9	66.6	1038.9	18.8	-63.5	1172.2	11.9	59.8	1030.8
547	-7.4	64.4	1040.1	19.1	-66.3	1180.1	12.0	58.8	1031.3
548	-6.8	62.2	1041.4	19.4	-69.2	1188.1	12.1	57.8	1031.9
549	-6.2	59.9	1042.7	19.7	-72.0	1196.2	12.3	56.8	1032.6
550	-5.6	57.7	1044.1	20.0	-74.7	1204.3	12.3	55.8	1033.2
551	-4.9	55.3	1045.6	20.2	-77.5	1212.5	12.4	54.8	1034.0
552	-4.3	53.0	1047.2	20.4	-80.3	1220.7	12.5	53.7	1034.7
553	-3.6	50.6	1048.8	20.6	-83.0	1228.9	12.6	52.6	1035.6
554	-2.9	48.2	1050.5	20.8	-85.7	1237.2	12.7	51.6	1036.4
555	-2.2	45.8	1052.3	20.9	-88.4	1245.6	12.7	50.4	1037.4
556	-1.5	43.4	1054.2	21.0	-91.1	1254.0	12.8	49.3	1038.3
557	-0.8	40.9	1056.1	21.1	-93.8	1262.4	12.8	48.2	1039.4
558	-0.1	38.4	1058.1	21.2	-96.4	1270.8	12.9	47.0	1040.4
559	0.7	35.9	1060.2	21.2	-99.0	1279.3	12.9	45.8	1041.6
560	1.4	33.4	1062.4	21.2	-101.6	1287.8	13.0	44.6	1042.8
561	2.2	30.8	1064.6	21.2	-104.2	1296.3	13.0	43.3	1044.1
562	3.0	28.2	1066.9	21.2	-106.7	1304.8	13.0	42.1	1045.4
563	3.8	25.6	1069.3	21.1	-109.3	1313.4	13.1	40.8	1046.8
564	4.6	23.0	1071.8	21.0	-111.8	1321.9	13.1	39.4	1048.2
565	5.4	20.4	1074.3	20.9	-114.3	1330.5	13.1	38.1	1049.8
566	6.2	17.8	1076.9	20.7	-116.7	1339.1	13.2	36.7	1051.4
567	7.1	15.1	1079.6	20.5	-119.2	1347.6	13.2	35.3	1053.0
568	7.9	12.4	1082.4	20.3	-121.6	1356.2	13.2	33.9	1054.8
569	8.8	9.8	1085.2	20.1	-124.0	1364.7	13.2	32.5	1056.6
570	9.6	7.1	1088.1	19.8	-126.3	1373.2	13.3	31.0	1058.5
571	10.5	4.4	1091.1	19.5	-128.7	1381.7	13.3	29.5	1060.4
572	11.4	1.7	1094.2	19.2	-131.0	1390.2	13.3	27.9	1062.5
573	12.2	-1.0	1097.4	18.8	-133.3	1398.7	13.4	26.4	1064.6
574	13.1	-3.7	1100.6	18.4	-135.5	1407.2	13.4	24.8	1066.8
575	14.0	-6.5	1103.9	18.0	-137.8	1415.6	13.5	23.2	1069.1
576	14.9	-9.2	1107.3	17.5	-140.0	1424.0	13.5	21.5	1071.5
577	15.8	-11.9	1110.8	17.1	-142.2	1432.3	13.6	19.9	1073.9
578	16.7	-14.6	1114.3	16.5	-144.4	1440.6	13.7	18.2	1076.5
579	17.6	-17.3	1118.0	16.0	-146.5	1448.9	13.7	16.4	1079.1
580	18.5	-20.0	1121.7	15.4	-148.7	1457.1	13.8	14.7	1081.8
581	19.4	-22.7	1125.5	14.8	-150.8	1465.2	13.9	12.9	1084.7
582	20.3	-25.4	1129.3	14.1	-152.9	1473.3	14.0	11.1	1087.6
583	21.2	-28.1	1133.3	13.5	-154.9	1481.3	14.1	9.3	1090.6
584	22.2	-30.8	1137.3	12.8	-157.0	1489.3	14.2	7.4	1093.6
585	23.1	-33.5	1141.4	12.0	-159.0	1497.2	14.3	5.5	1096.8
586	24.0	-36.2	1145.6	11.2	-161.0	1505.0	14.4	3.6	1100.1
587	24.9	-38.8	1149.9	10.4	-163.0	1512.8	14.5	1.7	1103.4
588	25.8	-41.5	1154.2	9.6	-165.0	1520.4	14.7	-0.3	1106.9
589	26.7	-44.1	1158.6	8.7	-166.9	1528.0	14.8	-2.3	1110.4
590	27.6	-46.7	1163.2	7.8	-168.8	1535.5	15.0	-4.3	1114.1
591	28.5	-49.3	1167.7	6.9	-170.8	1542.9	15.1	-6.3	1117.8
592	29.4	-51.9	1172.4	5.9	-172.7	1550.2	15.3	-8.4	1121.6
593	30.3	-54.5	1177.1	4.9	-174.5	1557.4	15.5	-10.4	1125.5
