	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	L_Hip_Angle	L_Ankle_Angle	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	L_Hip_Angle	L_Ankle_Angle	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	L_Hip_Angle	L_Ankle_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	Y	X	X	Y	Z	Y	X	X	Y	Z	Y	X
30	24.43	-1.13	-2.87	5.22	78.59	36.41	-0.92	-1.91	11.79	83.99	27.67	-1.27	-1.16	3.36	81.51
31	24.73	-1.11	-2.78	5.46	78.73	36.79	-0.91	-1.84	11.84	84.16	28.06	-1.25	-1.10	3.60	81.63
32	25.04	-1.10	-2.69	5.70	78.88	37.16	-0.90	-1.77	11.88	84.32	28.46	-1.23	-1.04	3.85	81.74
33	25.36	-1.08	-2.59	5.94	79.03	37.54	-0.90	-1.69	12.87	84.49	28.85	-1.21	-0.98	4.12	81.86
34	25.68	-1.08	-2.48	6.18	79.19	37.92	-0.89	-1.62	13.07	84.65	29.25	-1.18	-0.94	4.39	81.98
35	26.02	-1.07	-2.38	6.42	79.35	38.30	-0.89	-1.55	13.28	84.82	29.64	-1.16	-0.89	4.67	82.10
36	26.36	-1.07	-2.26	6.67	79.52	38.67	-0.89	-1.47	13.49	84.98	30.04	-1.14	-0.85	4.96	82.22
37	26.71	-1.07	-2.14	6.91	79.69	39.04	-0.90	-1.39	13.71	85.15	30.43	-1.12	-0.81	5.26	82.34
38	27.07	-1.08	-2.02	7.16	79.87	39.41	-0.91	-1.30	13.94	85.32	30.83	-1.10	-0.77	5.57	82.46
39	27.44	-1.09	-1.89	7.40	80.05	39.78	-0.93	-1.21	14.17	85.48	31.22	-1.08	-0.73	5.88	82.58
40	27.82	-1.11	-1.76	7.65	80.24	40.15	-0.96	-1.11	14.42	85.65	31.62	-1.07	-0.70	6.08	82.70
41	28.21	-1.12	-1.63	7.90	80.43	40.52	-1.00	-1.02	14.67	85.82	32.01	-1.05	-0.66	6.41	82.82
42	28.60	-1.14	-1.50	8.16	80.62	40.88	-1.04	-0.91	14.93	85.98	32.40	-1.04	-0.63	6.90	82.95
43	29.01	-1.17	-1.37	8.42	80.82	41.24	-1.09	-0.81	15.20	86.15	32.79	-1.03	-0.59	7.21	83.07
44	29.42	-1.19	-1.24	8.68	81.02	41.60	-1.14	-0.71	15.48	86.32	33.17	-1.03	-0.55	7.53	83.20
45	29.84	-1.22	-1.11	8.94	81.22	41.95	-1.20	-0.60	15.76	86.48	33.55	-1.02	-0.51	7.85	83.33
46	30.26	-1.25	-0.98	9.21	81.42	42.31	-1.26	-0.50	16.06	86.65	33.93	-1.02	-0.46	8.17	83.45
47	30.70	-1.28	-0.85	9.48	81.63	42.66	-1.33	-0.40	16.37	86.82	34.31	-1.03	-0.42	8.50	83.58
48	31.13	-1.32	-0.72	9.76	81.84	43.02	-1.39	-0.30	16.68	86.99	34.68	-1.03	-0.37	8.83	83.71
49	31.58	-1.35	-0.60	10.04	82.05	43.37	-1.46	-0.20	17.01	87.16	35.05	-1.04	-0.32	9.16	83.84
50	32.03	-1.39	-0.48	10.33	82.27	43.72	-1.54	-0.11	17.34	87.33	35.42	-1.04	-0.27	9.50	83.97
51	32.48	-1.43	-0.36	10.63	82.48	44.07	-1.61	-0.02	17.68	87.50	35.79	-1.05	-0.22	9.55	84.10
52	32.95	-1.47	-0.24	10.93	82.70	44.42	-1.69	0.06	18.02	87.67	36.15	-1.06	-0.17	9.86	84.23
53	33.41	-1.51	-0.13	11.23	82.92	44.76	-1.76	0.15	18.26	87.84	36.52	-1.07	-0.12	10.17	84.36
54	33.88	-1.55	-0.02	11.54	83.15	45.11	-1.84	0.22	18.60	88.01	36.88	-1.08	-0.07	10.49	84.49
55	34.35	-1.60	0.09	11.86	83.37	45.46	-1.91	0.30	18.95	88.18	37.24	-1.09	-0.02	10.81	84.62
56	34.83	-1.64	0.19	12.18	83.60	45.80	-1.98	0.36	19.29	88.36	37.59	-1.10	0.02	11.14	84.75
57	35.31	-1.69	0.29	12.51	83.84	46.15	-2.06	0.43	19.64	88.53	37.95	-1.11	0.07	11.48	84.89
58	35.79	-1.73	0.38	12.84	84.07	46.49	-2.12	0.48	20.00	88.70	38.31	-1.12	0.11	11.82	85.02
59	36.27	-1.78	0.47	13.18	84.31	46.84	-2.19	0.54	20.35	88.88	38.66	-1.12	0.16	12.16	85.16
60	36.75	-1.82	0.56	13.52	84.55	47.18	-2.25	0.58	20.70	89.05	39.01	-1.13	0.20	12.51	85.30
61	37.24	-1.87	0.64	13.87	84.80	47.52	-2.31	0.63	21.05	89.22	39.36	-1.13	0.24	12.86	85.44
62	37.72	-1.91	0.71	14.22	85.04	47.86	-2.36	0.67	21.40	89.40	39.71	-1.14	0.27	13.21	85.57
63	38.21	-1.95	0.78	14.58	85.29	48.21	-2.42	0.70	21.75	89.57	40.06	-1.14	0.31	13.68	85.71
64	38.70	-1.98	0.85	14.95	85.54	48.55	-2.46	0.73	22.09	89.74	40.41	-1.15	0.35	13.87	85.85
65	39.18	-2.02	0.90	15.32	85.79	48.89	-2.51	0.75	22.42	89.91	40.75	-1.16	0.38	14.23	85.99
66	39.67	-2.05	0.96	15.69	86.04	49.22	-2.55	0.77	22.74	90.08	41.09	-1.16	0.41	14.58	86.14
67	40.16	-2.08	1.00	16.07	86.29	49.56	-2.58	0.78	23.06	90.25	41.43	-1.17	0.44	14.94	86.28
68	40.65	-2.10	1.05	16.46	86.54	49.90	-2.62	0.79	23.37	90.41	41.77	-1.19	0.47	15.30	86.42
69	41.14	-2.13	1.08	16.84	86.80	50.23	-2.65	0.79	23.67	90.57	42.11	-1.20	0.50	15.65	86.56
70	41.63	-2.15	1.11	17.24	87.05	50.56	-2.68	0.79	23.95	90.74	42.44	-1.22	0.53	16.01	86.70
71	42.11	-2.16	1.14	17.63	87.30	50.89	-2.71	0.79	24.23	90.89	42.77	-1.25	0.56	16.37	86.84
72	42.60	-2.17	1.16	18.03	87.55	51.21	-2.73	0.78	24.49	91.05	43.10	-1.27	0.58	16.96	86.99
73	43.09	-2.18	1.18	18.43	87.80	51.53	-2.75	0.77	24.73	91.20	43.43	-1.30	0.61	17.17	87.13
74	43.58	-2.19	1.19	18.83	88.04	51.85	-2.77	0.75	24.96	91.35	43.76	-1.34	0.63	17.52	87.27
75	44.07	-2.20	1.20	19.23	88.29	52.16	-2.79	0.74	25.18	91.50	44.08	-1.37	0.66	17.88	87.41
76	44.55	-2.20	1.20	19.63	88.53	52.47	-2.81	0.72	25.38	91.64	44.40	-1.42	0.68	18.23	87.54
77	45.04	-2.20	1.20	20.03	88.77	52.77	-2.82	0.70	25.56	91.78	44.72	-1.47	0.71	18.57	87.68
78	45.52	-2.21	1.20	20.42	89.01	53.07	-2.83	0.67	25.73	91.91	45.04	-1.52	0.73	18.91	87.82
79	46.00	-2.21	1.19	20.81	89.25	53.36	-2.84	0.65	25.88	92.05	45.35	-1.58	0.76	19.25	87.95
80	46.47	-2.21	1.18	21.19	89.48	53.65	-2.85	0.62	26.01	92.18	45.66	-1.65	0.78	19.58	88.09
81	46.94	-2.22	1.16	21.57	89.71	53.93	-2.86	0.59	26.13	92.30	45.97	-1.72	0.80	19.91	88.22
82	47.41	-2.22	1.15	21.94	89.94	54.20	-2.86	0.57	26.23	92.42	46.27	-1.79	0.83	20.23	88.35
83	47.87	-2.23	1.13	22.30	90.16	54.47	-2.87	0.54	26.31	92.54	46.57	-1.87	0.85	20.54	88.49
84	48.33	-2.24	1.10	22.65	90.38	54.73	-2.87	0.51	26.38	92.66	46.87	-1.95	0.87	20.85	88.62
85	48.78	-2.25	1.08	22.99	90.60	54.98	-2.87	0.48	26.43	92.77	47.16	-2.04	0.90	21.15	88.75
86	49.23	-2.26	1.05	23.31	90.81	55.22	-2.88	0.46	26.46	92.88	47.46	-2.13	0.92	21.44	88.88
87	49.67	-2.27	1.03	23.62	91.02	55.46	-2.88	0.43	26.48	92.98	47.74	-2.22	0.94	21.72	89.01
88	50.11	-2.29	1.00	23.92	91.22	55.69	-2.88	0.40	26.49	93.08	48.03	-2.31	0.95	21.99	89.13
89	50.54	-2.31	0.97	24.20	91.42	55.91	-2.87	0.37	26.47	93.18	48.31	-2.40	0.97	22.24	89.26
90	50.97	-2.34	0.93	24.46	91.62	56.12	-2.87	0.35	26.45	93.28	48.58	-2.49	0.99	22.49	89.39
91	51.39	-2.36	0.90	24.71	91.81	56.33	-2.87	0.32	26.41	93.37	48.85	-2.57	1.00	22.72	89.52
92	51.81	-2.39	0.87	24.93	91.99	56.52	-2.87	0.29	26.36	93.46	49.12	-2.64	1.01	22.94	89.64
93	52.22	-2.42	0.84	25.14	92.17	56.71	-2.86	0.27	26.30	93.54	49.38	-2.71	1.02	23.21	89.77
94	52.63	-2.45	0.80	25.34	92.35	56.89	-2.85	0.24	26.22	93.62	49.64	-2.77	1.03	23.39	89.89
95	53.03	-2.49	0.77	25.51	92.52	57.06	-2.85	0.22	26.14	93.70	49.89	-2.83	1.03	23.56	90.02
96	53.42	-2.53	0.74	25.66	92.69	57.22	-2.84	0.19	26.04	93.77	50.14	-2.88	1.04	23.71	90.14
97	53.81	-2.56	0.70	25.80	92.85	57.37	-2.83	0.17	25.94	93.84	50.39	-2.93	1.05	23.84	90.26
98	54.19	-2.60	0.67	25.92	93.00	57.52	-2.82	0.14	25.83	93.91	50.63	-2.97	1.05	23.95	90.39
99	54.57	-2.64	0.63	26.02	93.16	57.65	-2.81	0.12	25.71	93.97	50.87	-3.00	1.05	24.05	90.51
100	54.94	-2.68	0.60	26.11	93.30	57.77	-2.80	0.10	25.58	94.03	51.10	-3.03	1.06	24.13	90.63
101	55.31	-2.72	0.56	26.18	93.45	57.89	-2.79	0.08	25.45	94.08	51.33	-3.05	1.06	24.19	90.75
102	55.67	-2.76	0.52	26.23	93.58	57.99	-2.78	0.06	25.32	94.13	51.55	-3.08	1.07	24.23	90.87
103	56.02	-2.80	0.48	26.27	93.72	58.09	-2.77	0.04	25.18	94.18	51.77	-3.09	1.07	24.26	90.99
104	56.37	-2.83	0.43	26.30	93.85	58.18	-2.75	0.03	25.04	94.22	51.99	-3.11	1.08	24.27	91.11
105	56.71	-2.87	0.39	26.32	93.97	58.25	-2.74	0.02	24.89	94.27	52.21	-3.12	1.09	24.27	91.23
106	57.04	-2.90	0.35	26.33	94.09	58.32	-2.72	0.01	24.74	94.30	52.42	-3.13	1.10	24.25	91.35
107	57.36	-2.93	0.30	26.33	94.21	58.38	-2.71	-0.00	24.60	94.34	52.63	-3.14	1.11	24.21	91.46
108	57.68	-2.97	0.26	26.32	94.32	58.43	-2.69	-0.01	24.45	94.37	52.84	-3.14	1.12	24.16	91.58
109	57.99	-2.99	0.21	26.31	94.43	58.47	-2.68	-0.02	24.30	94.40	53.04	-3.15	1.14	24.10	91.70
110	58.28	-3.02	0.17	26.29	94.53	58.50	-2.67	-0.02	24.15	94.43	53.25	-3.15	1.16	24.03	91.81
111	58.57	-3.05	0.12	26.27	94.63	58.53	-2.65	-0.03	24.00	94.46	53.45	-3.15	1.18	23.95	91.93
112	58.85	-3.07	0.08	26.25	94.73	58.54	-2.64	-0.03	23.85	94.49	53.65	-3.15	1.20	23.86	92.04
113	59.13	-3.09	0.04	26.22	94.83	58.55	-2.63	-0.03	23.70	94.52	53.85	-3.15	1.22	23.76	92.15
114	59.39	-3.11	-0.00	26.19	94.92	58.55	-2.61	-0.03	23.56	94.55	54.05	-3.15	1.24	23.66	92.26
