	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
63	41.61	17.56	-4.72	79.01	13.47	-4.23	50.30	13.01	-3.71
64	43.19	17.99	-4.86	79.80	13.51	-4.09	51.29	13.19	-3.71
65	44.79	18.43	-5.02	80.57	13.53	-3.97	52.28	13.38	-3.72
66	46.42	18.86	-5.19	81.32	13.56	-3.88	53.25	13.58	-3.74
67	48.07	19.28	-5.37	82.04	13.58	-3.81	54.21	13.76	-3.77
68	49.74	19.68	-5.56	82.76	13.61	-3.79	55.16	13.94	-3.81
69	51.43	20.07	-5.76	83.46	13.61	-3.79	56.07	14.13	-3.86
70	53.13	20.43	-5.96	84.17	13.63	-3.84	56.96	14.29	-3.92
71	54.80	20.78	-6.17	84.86	13.63	-3.91	57.82	14.44	-3.98
72	56.50	21.10	-6.39	85.57	13.63	-4.02	58.64	14.57	-4.05
73	58.15	21.39	-6.60	86.27	13.62	-4.18	59.42	14.69	-4.13
74	59.79	21.64	-6.81	86.99	13.61	-4.37	60.16	14.78	-4.21
75	61.39	21.86	-7.02	87.71	13.60	-4.60	60.87	14.86	-4.30
76	62.95	22.05	-7.22	88.45	13.59	-4.86	61.53	14.91	-4.39
77	64.47	22.19	-7.42	89.19	13.57	-5.17	62.16	14.94	-4.50
78	65.93	22.29	-7.61	89.94	13.56	-5.50	62.75	14.95	-4.61
79	67.36	22.35	-7.80	90.70	13.54	-5.88	63.32	14.94	-4.74
80	68.72	22.36	-7.97	91.46	13.53	-6.28	63.85	14.91	-4.88
81	70.04	22.34	-8.14	92.23	13.51	-6.71	64.35	14.86	-5.03
82	71.31	22.27	-8.29	92.98	13.50	-7.17	64.84	14.80	-5.20
83	72.52	22.17	-8.44	93.73	13.49	-7.65	65.32	14.73	-5.39
84	73.70	22.03	-8.58	94.46	13.49	-8.15	65.77	14.64	-5.60
85	74.82	21.85	-8.71	95.16	13.48	-8.67	66.23	14.55	-5.83
86	75.91	21.64	-8.84	95.83	13.48	-9.20	66.68	14.45	-6.09
87	76.94	21.40	-8.96	96.45	13.49	-9.75	67.13	14.36	-6.37
88	77.94	21.13	-9.08	97.04	13.49	-10.31	67.58	14.26	-6.66
89	78.90	20.83	-9.21	97.58	13.50	-10.87	68.05	14.16	-6.98
90	79.81	20.51	-9.33	98.07	13.51	-11.44	68.52	14.05	-7.30
91	80.69	20.18	-9.46	98.48	13.52	-12.01	69.02	13.94	-7.64
92	81.52	19.82	-9.59	98.83	13.54	-12.58	69.52	13.84	-8.00
93	82.29	19.45	-9.73	99.09	13.56	-13.14	70.03	13.73	-8.35
94	83.03	19.08	-9.88	99.27	13.59	-13.69	70.55	13.63	-8.73
95	83.71	18.69	-10.04	99.34	13.62	-14.23	71.09	13.53	-9.12
96	84.34	18.30	-10.22	99.31	13.65	-14.76	71.62	13.43	-9.50
97	84.92	17.91	-10.41	99.17	13.69	-15.26	72.16	13.35	-9.90
98	85.45	17.52	-10.61	98.92	13.74	-15.76	72.70	13.26	-10.31
99	85.93	17.13	-10.83	98.55	13.79	-16.21	73.24	13.17	-10.71
100	86.38	16.75	-11.07	98.06	13.84	-16.65	73.76	13.09	-11.11
101	86.77	16.37	-11.32	97.46	13.90	-17.05	74.27	13.01	-11.51
102	87.14	16.01	-11.60	96.75	13.96	-17.40	74.78	12.93	-11.90
103	87.46	15.65	-11.88	95.92	14.03	-17.73	75.25	12.86	-12.29
104	87.74	15.30	-12.18	94.99	14.09	-18.00	75.71	12.78	-12.67
105	87.97	14.97	-12.50	93.97	14.16	-18.23	76.13	12.72	-13.03
106	88.17	14.65	-12.83	92.85	14.22	-18.41	76.51	12.65	-13.38
107	88.32	14.35	-13.16	91.66	14.27	-18.54	76.85	12.59	-13.72
108	88.43	14.06	-13.50	90.39	14.32	-18.62	77.15	12.54	-14.04
109	88.51	13.79	-13.85	89.07	14.36	-18.65	77.40	12.49	-14.34
110	88.55	13.53	-14.19	87.68	14.39	-18.63	77.60	12.46	-14.63
111	88.55	13.28	-14.53	86.26	14.42	-18.56	77.75	12.43	-14.90
112	88.54	13.05	-14.85	84.80	14.43	-18.44	77.84	12.41	-15.15
113	88.49	12.83	-15.16	83.30	14.42	-18.28	77.88	12.40	-15.38
114	88.44	12.61	-15.45	81.77	14.41	-18.08	77.87	12.40	-15.59
115	88.36	12.40	-15.72	80.22	14.37	-17.83	77.80	12.43	-15.79
116	88.26	12.20	-15.95	78.63	14.31	-17.52	77.67	12.45	-15.96
117	88.17	12.01	-16.16	77.01	14.25	-17.19	77.50	12.50	-16.12
118	88.05	11.81	-16.32	75.36	14.15	-16.81	77.27	12.55	-16.26
119	87.94	11.62	-16.46	73.70	14.04	-16.39	77.00	12.62	-16.38
120	87.82	11.42	-16.55	71.99	13.91	-15.95	76.68	12.71	-16.48
121	87.69	11.23	-16.61	70.26	13.76	-15.47	76.31	12.81	-16.57
122	87.55	11.02	-16.62	68.50	13.59	-14.97	75.91	12.91	-16.63
123	87.41	10.81	-16.60	66.71	13.41	-14.45	75.46	13.04	-16.68
124	87.28	10.59	-16.53	64.90	13.22	-13.92	74.96	13.18	-16.71
125	87.12	10.35	-16.42	63.06	13.00	-13.37	74.44	13.33	-16.72
126	86.98	10.09	-16.27	61.19	12.77	-12.81	73.87	13.48	-16.70
127	86.83	9.82	-16.08	59.29	12.51	-12.24	73.28	13.64	-16.67
128	86.67	9.53	-15.87	57.38	12.23	-11.65	72.64	13.80	-16.61
129	86.52	9.21	-15.62	55.43	11.94	-11.08	71.97	13.97	-16.53
130	86.36	8.89	-15.35	53.46	11.62	-10.49	71.28	14.13	-16.42
131	86.20	8.53	-15.06	51.46	11.27	-9.90	70.54	14.28	-16.29
132	86.05	8.16	-14.75	49.44	10.90	-9.33	69.78	14.43	-16.13
133	85.88	7.77	-14.44	47.38	10.50	-8.74	68.99	14.56	-15.96
134	85.71	7.34	-14.11	45.30	10.08	-8.17	68.17	14.67	-15.75
135	85.53	6.89	-13.76	43.18	9.61	-7.60	67.31	14.75	-15.53
136	85.34	6.42	-13.41	41.04	9.13	-7.05	66.43	14.81	-15.28
137	85.13	5.91	-13.05	38.87	8.61	-6.49	65.52	14.84	-15.01
138	84.90	5.38	-12.69	36.69	8.06	-5.96	64.58	14.84	-14.73
139	84.65	4.82	-12.32	34.48	7.48	-5.44	63.61	14.78	-14.42
140	84.37	4.24	-11.95	32.26	6.86	-4.93	62.62	14.68	-14.11
141	84.05	3.63	-11.59	30.05	6.22	-4.45	61.62	14.52	-13.77
142	83.71	3.00	-11.22	27.86	5.55	-3.99	60.58	14.32	-13.43
143	83.32	2.35	-10.87	25.68	4.86	-3.56	59.54	14.04	-13.06
144	82.90	1.68	-10.51	23.54	4.14	-3.16	58.47	13.71	-12.70
