	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3
	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
56	0.3916	0.2584	0.0116	0.3832	0.2403	0.0115	0.3924	0.2785	0.0116
57	0.3918	0.2582	0.0116	0.3826	0.2393	0.0115	0.3925	0.2786	0.0116
58	0.3915	0.2585	0.0116	0.3823	0.2388	0.0115	0.3923	0.2775	0.0116
59	0.3908	0.2585	0.0116	0.3825	0.2393	0.0115	0.3927	0.2775	0.0116
60	0.3903	0.2582	0.0116	0.3814	0.2386	0.0115	0.3922	0.2776	0.0116
61	0.3911	0.2576	0.0116	0.3820	0.2384	0.0115	0.3916	0.2779	0.0116
62	0.3910	0.2588	0.0116	0.3823	0.2378	0.0115	0.3925	0.2774	0.0116
63	0.3907	0.2585	0.0116	0.3817	0.2382	0.0115	0.3929	0.2778	0.0116
64	0.3906	0.2583	0.0116	0.3809	0.2379	0.0115	0.3922	0.2768	0.0116
65	0.3906	0.2585	0.0116	0.3815	0.2373	0.0115	0.3930	0.2775	0.0116
66	0.3897	0.2579	0.0116	0.3812	0.2373	0.0115	0.3924	0.2775	0.0116
67	0.3895	0.2577	0.0116	0.3815	0.2373	0.0115	0.3924	0.2767	0.0116
68	0.3897	0.2580	0.0116	0.3811	0.2370	0.0115	0.3926	0.2769	0.0116
69	0.3903	0.2576	0.0116	0.3817	0.2368	0.0115	0.3933	0.2765	0.0116
70	0.3883	0.2571	0.0115	0.3805	0.2362	0.0115	0.3924	0.2760	0.0116
71	0.3888	0.2576	0.0116	0.3802	0.2368	0.0115	0.3923	0.2767	0.0116
72	0.3889	0.2575	0.0116	0.3805	0.2364	0.0115	0.3930	0.2767	0.0116
73	0.3880	0.2569	0.0115	0.3803	0.2370	0.0115	0.3915	0.2766	0.0116
74	0.3882	0.2574	0.0115	0.3802	0.2362	0.0115	0.3920	0.2766	0.0116
75	0.3879	0.2567	0.0115	0.3802	0.2365	0.0115	0.3935	0.2763	0.0116
76	0.3874	0.2564	0.0115	0.3803	0.2363	0.0115	0.3923	0.2759	0.0116
77	0.3875	0.2567	0.0115	0.3803	0.2363	0.0115	0.3924	0.2764	0.0116
78	0.3875	0.2569	0.0115	0.3793	0.2363	0.0115	0.3920	0.2759	0.0116
79	0.3865	0.2562	0.0115	0.3798	0.2370	0.0115	0.3918	0.2761	0.0116
80	0.3873	0.2559	0.0115	0.3789	0.2361	0.0115	0.3916	0.2763	0.0116
81	0.3862	0.2560	0.0115	0.3788	0.2369	0.0115	0.3927	0.2763	0.0116
82	0.3871	0.2560	0.0115	0.3785	0.2364	0.0115	0.3915	0.2756	0.0116
83	0.3860	0.2550	0.0115	0.3785	0.2372	0.0115	0.3919	0.2762	0.0116
84	0.3857	0.2555	0.0115	0.3788	0.2371	0.0115	0.3919	0.2760	0.0116
85	0.3855	0.2553	0.0115	0.3778	0.2377	0.0115	0.3920	0.2757	0.0116
86	0.3864	0.2547	0.0115	0.3779	0.2376	0.0115	0.3916	0.2759	0.0116
87	0.3857	0.2546	0.0115	0.3772	0.2378	0.0115	0.3923	0.2762	0.0116
88	0.3848	0.2544	0.0115	0.3776	0.2379	0.0115	0.3918	0.2753	0.0116
89	0.3837	0.2546	0.0115	0.3770	0.2373	0.0115	0.3917	0.2757	0.0116
90	0.3842	0.2541	0.0115	0.3766	0.2376	0.0115	0.3916	0.2760	0.0116
91	0.3839	0.2542	0.0115	0.3766	0.2385	0.0115	0.3912	0.2757	0.0116
92	0.3827	0.2536	0.0115	0.3767	0.2386	0.0115	0.3916	0.2759	0.0116
93	0.3833	0.2542	0.0115	0.3764	0.2391	0.0115	0.3912	0.2759	0.0116
94	0.3822	0.2545	0.0115	0.3760	0.2393	0.0115	0.3914	0.2761	0.0116
95	0.3821	0.2539	0.0115	0.3755	0.2391	0.0115	0.3911	0.2753	0.0116
96	0.3817	0.2543	0.0115	0.3754	0.2392	0.0115	0.3915	0.2750	0.0116
97	0.3819	0.2525	0.0115	0.3752	0.2396	0.0115	0.3911	0.2757	0.0116
98	0.3824	0.2539	0.0115	0.3747	0.2397	0.0115	0.3907	0.2753	0.0116
99	0.3820	0.2530	0.0115	0.3744	0.2402	0.0115	0.3912	0.2754	0.0116
100	0.3813	0.2525	0.0115	0.3742	0.2405	0.0115	0.3906	0.2751	0.0116
101	0.3809	0.2529	0.0115	0.3737	0.2403	0.0115	0.3911	0.2754	0.0116
102	0.3799	0.2542	0.0115	0.3738	0.2404	0.0115	0.3905	0.2752	0.0116
103	0.3802	0.2526	0.0115	0.3735	0.2402	0.0115	0.3904	0.2754	0.0116
104	0.3805	0.2530	0.0115	0.3737	0.2401	0.0115	0.3913	0.2754	0.0116
105	0.3803	0.2526	0.0115	0.3738	0.2410	0.0115	0.3905	0.2747	0.0116
106	0.3791	0.2528	0.0115	0.3730	0.2401	0.0115	0.3904	0.2755	0.0116
107	0.3788	0.2527	0.0115	0.3725	0.2403	0.0115	0.3912	0.2750	0.0116
108	0.3791	0.2528	0.0115	0.3732	0.2403	0.0115	0.3904	0.2746	0.0116
109	0.3778	0.2531	0.0115	0.3720	0.2407	0.0115	0.3907	0.2745	0.0116
110	0.3780	0.2528	0.0115	0.3719	0.2410	0.0115	0.3904	0.2753	0.0116
111	0.3774	0.2529	0.0115	0.3727	0.2406	0.0115	0.3903	0.2748	0.0116
112	0.3773	0.2520	0.0115	0.3719	0.2404	0.0115	0.3903	0.2751	0.0116
113	0.3770	0.2516	0.0115	0.3722	0.2402	0.0115	0.3904	0.2746	0.0116
114	0.3755	0.2519	0.0115	0.3722	0.2405	0.0115	0.3903	0.2741	0.0116
115	0.3755	0.2516	0.0115	0.3716	0.2404	0.0115	0.3903	0.2746	0.0116
116	0.3761	0.2524	0.0115	0.3715	0.2400	0.0115	0.3903	0.2741	0.0116
117	0.3760	0.2519	0.0115	0.3715	0.2405	0.0115	0.3903	0.2745	0.0116
118	0.3753	0.2519	0.0115	0.3719	0.2402	0.0115	0.3898	0.2736	0.0116
119	0.3756	0.2523	0.0115	0.3712	0.2403	0.0115	0.3914	0.2743	0.0116
